"","x"
"1","CHEMBL1075094"
"2","CHEMBL1075104"
"3","CHEMBL1075110"
"4","CHEMBL1075126"
"5","CHEMBL1075138"
"6","CHEMBL1075145"
"7","CHEMBL1075189"
"8","CHEMBL1075232"
"9","CHEMBL1075317"
"10","CHEMBL1075323"
"11","CHEMBL1163101"
"12","CHEMBL1163125"
"13","CHEMBL1169598"
"14","CHEMBL1250348"
"15","CHEMBL1255126"
"16","CHEMBL1255150"
"17","CHEMBL1287622"
"18","CHEMBL1293224"
"19","CHEMBL1293226"
"20","CHEMBL1293231"
"21","CHEMBL1293232"
"22","CHEMBL1293237"
"23","CHEMBL1293255"
"24","CHEMBL1293266"
"25","CHEMBL1293269"
"26","CHEMBL1293277"
"27","CHEMBL1293289"
"28","CHEMBL1293299"
"29","CHEMBL1628481"
"30","CHEMBL1741186"
"31","CHEMBL1741208"
"32","CHEMBL1744525"
"33","CHEMBL1781"
"34","CHEMBL1782"
"35","CHEMBL1784"
"36","CHEMBL1785"
"37","CHEMBL1790"
"38","CHEMBL1792"
"39","CHEMBL1795086"
"40","CHEMBL1795116"
"41","CHEMBL1795186"
"42","CHEMBL1800"
"43","CHEMBL1801"
"44","CHEMBL1804"
"45","CHEMBL1808"
"46","CHEMBL1809"
"47","CHEMBL1811"
"48","CHEMBL1821"
"49","CHEMBL1824"
"50","CHEMBL1825"
"51","CHEMBL1827"
"52","CHEMBL1829"
"53","CHEMBL1833"
"54","CHEMBL1835"
"55","CHEMBL1836"
"56","CHEMBL1844"
"57","CHEMBL1849"
"58","CHEMBL1850"
"59","CHEMBL1853"
"60","CHEMBL1855"
"61","CHEMBL1860"
"62","CHEMBL1862"
"63","CHEMBL1865"
"64","CHEMBL1867"
"65","CHEMBL1868"
"66","CHEMBL1871"
"67","CHEMBL1875"
"68","CHEMBL1878"
"69","CHEMBL1881"
"70","CHEMBL1889"
"71","CHEMBL1898"
"72","CHEMBL1899"
"73","CHEMBL1900"
"74","CHEMBL1901"
"75","CHEMBL1902"
"76","CHEMBL1906"
"77","CHEMBL1907"
"78","CHEMBL1908"
"79","CHEMBL1908389"
"80","CHEMBL1913"
"81","CHEMBL1914"
"82","CHEMBL1916"
"83","CHEMBL1917"
"84","CHEMBL1921"
"85","CHEMBL1921666"
"86","CHEMBL1926"
"87","CHEMBL1929"
"88","CHEMBL1936"
"89","CHEMBL1937"
"90","CHEMBL1941"
"91","CHEMBL1942"
"92","CHEMBL1944"
"93","CHEMBL1945"
"94","CHEMBL1946"
"95","CHEMBL1947"
"96","CHEMBL1951"
"97","CHEMBL1952"
"98","CHEMBL1955"
"99","CHEMBL1957"
"100","CHEMBL1963"
"101","CHEMBL1966"
"102","CHEMBL1968"
"103","CHEMBL1974"
"104","CHEMBL1977"
"105","CHEMBL1978"
"106","CHEMBL1980"
"107","CHEMBL1983"
"108","CHEMBL1985"
"109","CHEMBL1991"
"110","CHEMBL1994"
