CHEMBL4979	B7ZA69
CHEMBL2858	Q8VI71
CHEMBL3772	Q5VTF8
CHEMBL4835	Q6IBM7
CHEMBL274	O14699
CHEMBL301	P24941
CHEMBL2955	O95136
CHEMBL4296	Q8WWN4
CHEMBL3795	Q8WWX7
CHEMBL3358	P21396
CHEMBL332	P03956
CHEMBL208	Q8TDS3
CHEMBL2003	Q9UJ38
CHEMBL3920	Q9H549
CHEMBL4179	A8K0S3
CHEMBL5469	Q14290
CHEMBL5979	O75090
CHEMBL5620	B0UZC0
CHEMBL2069	O75228
CHEMBL298	Q9NYK7
CHEMBL4096	Q3LRW5
CHEMBL1790	Q9UCV9
CHEMBL229	B0ZBD8
CHEMBL2409	G3V134
CHEMBL4145	B7Z940
CHEMBL298	O75824
CHEMBL6032	Q5JP83
CHEMBL1824	B2RZG3
CHEMBL1921	P47901
CHEMBL219	B0M0J7
CHEMBL3991	Q14339
CHEMBL1824	X5D2V5
CHEMBL3714130	J3KQR3
CHEMBL252	D3DP03
CHEMBL2147	Q5T7H7
CHEMBL2858	Q6YC50
CHEMBL232	B0LPE1
CHEMBL4777	B2R6H5
CHEMBL2034	Q53EP5
CHEMBL2327	Q8NGQ8
CHEMBL331	P11802
CHEMBL1913	B5A957
CHEMBL4625	E1P5L6
CHEMBL5077	Q9N1N9
CHEMBL4142	Q9NZU3
CHEMBL5747	Q4LE28
CHEMBL4608	B0YJ34
CHEMBL5805	Q6UXL6
CHEMBL2276	Q15713
CHEMBL3776	Q14790
CHEMBL4822	H7BXJ9
CHEMBL1075189	A6NFK3
CHEMBL2434	Q9P2T6
CHEMBL331	O00576
CHEMBL4072	B3KQR5
CHEMBL3911	Q9BSU5
CHEMBL4096	Q15087
CHEMBL6136	Q8NDP6
CHEMBL3371	Q5TGZ1
CHEMBL4816	Q9Y243
CHEMBL6136	A8MWP9
CHEMBL1871	Q9UD95
CHEMBL2882	P47747
CHEMBL3492	D3DPS0
CHEMBL4780	P04058
CHEMBL3028	Q96KS0
CHEMBL250	A8K2H5
CHEMBL3979	B6ZGS1
CHEMBL206	Q9NU51
CHEMBL3025	Q5FBW3
CHEMBL324	P08909
CHEMBL1860	P21205
CHEMBL4879459	Q63Z43
CHEMBL288	Q08499
CHEMBL1824	P04626
CHEMBL5804	D1CS56
CHEMBL4142	Q9NZU2
CHEMBL2179	B7Z5G2
CHEMBL3776	Q14796
CHEMBL2337	A6NII2
CHEMBL3906	Q15419
CHEMBL3180	Q5MAB8
CHEMBL216	P11229
CHEMBL344	B2RBX6
CHEMBL1825	Q9UIV3
CHEMBL1875	Q9H199
CHEMBL6136	Q96AW4
CHEMBL3979	A8K6J6
CHEMBL298	Q96LC6
CHEMBL4681	Q9UCX1
CHEMBL3572	Q13987
CHEMBL3772	Q9NU10
CHEMBL1853	P31391
CHEMBL4581	B2RMV3
CHEMBL5652	Q495H7
CHEMBL4142	Q1KHY5
CHEMBL1781	Q5TFY3
CHEMBL1741208	Q6TG35
CHEMBL235	Q96J12
CHEMBL5979	Q6NZI8
