Name,Common_name,Uniprot_ID,ChEMBL_ID,Class,Probability,Known_Actives,,NA.1
"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",AADAT,Q8N5Z0,CHEMBL2046259,Enzyme,0.0439186325197,17 /  0     ,NA,NA
Adaptor-associated kinase,AAK1,Q2M2I8,CHEMBL3830,Kinase,0.104671941128,1 /  0     ,NA,NA
Gamma-amino-N-butyrate transaminase,ABAT,P80404,CHEMBL2044,Transferase,0.0238327432783,2 /  0     ,NA,NA
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.0428381527054,113 /  0     ,NA,NA
Bile salt export pump,ABCB11,O95342,CHEMBL6020,Primary active transporter,0.938790202847,4 /  3     ,NA,NA
Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,0.0535560755162,1 /  0     ,NA,NA
Sulfonylurea receptor 2,ABCC9,O60706,CHEMBL1971,Primary active transporter,0.0312265582077,27 /  0     ,NA,NA
ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,CHEMBL5393,Primary active transporter,0.104671941128,7 /  0     ,NA,NA
Monoacylglycerol lipase ABHD6,ABHD6,Q9BV23,CHEMBL2189127,Enzyme,0.104671941128,2 /  0     ,NA,NA
Tyrosine-protein kinase ABL,ABL1,P00519,CHEMBL1862,Kinase,0.0535560755162,170 /  0     ,NA,NA
Acetyl-CoA carboxylase 2,ACACB,O00763,CHEMBL4829,Ligase,0.0978745343258,3 /  0     ,NA,NA
Angiotensin-converting enzyme,ACE,P12821,CHEMBL1808,Protease,0.033970689612,0 /  61     ,NA,NA
Angiotensin-converting enzyme 2,ACE2,Q9BYF1,CHEMBL3736,Protease,0.0312265582077,2 /  0     ,NA,NA
Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,0.0312265582077,1 /  74     ,NA,NA
ATP-citrate synthase,ACLY,P53396,CHEMBL3720,Enzyme,0.0238327432783,0 /  1     ,NA,NA
Low molecular weight phosphotyrosine protein phosphatase,ACP1,P24666,CHEMBL4903,Phosphatase,0.0626219668353,14 /  1     ,NA,NA
Prostatic acid phosphatase,ACPP,P15309,CHEMBL2633,Enzyme,0.0312265582077,11 /  0     ,NA,NA
Serine/threonine-protein kinase receptor R3,ACVRL1,P37023,CHEMBL5311,Kinase,0.109339753231,17 /  0     ,NA,NA
Adenosine deaminase,ADA,P00813,CHEMBL1910,Hydrolase,0.0535560755162,11 /  0     ,NA,NA
ADAM10,ADAM10,O14672,CHEMBL5028,Protease,0.041891066893,20 /  0     ,NA,NA
ADAM12,ADAM12,O43184,CHEMBL5030,Protease,0.112041901328,4 /  0     ,NA,NA
ADAM17,ADAM17,P78536,CHEMBL3706,Protease,0.0428381527054,398 /  0     ,NA,NA
ADAM9,ADAM9,Q13443,CHEMBL5982,Protease,0.0604245879294,0 /  1     ,NA,NA
ADAMTS5,ADAMTS5,Q9UNA0,CHEMBL2285,Protease,0.104671941128,73 /  0     ,NA,NA
Brain adenylate cyclase 1,ADCY1,Q08828,CHEMBL2899,Enzyme,0.109339753231,25 /  0     ,NA,NA
Adenylate cyclase type 10,ADCY10,Q96PN6,CHEMBL5854,Enzyme,0.0312265582077,0 /  1     ,NA,NA
Adenylate cyclase type V,ADCY5,O95622,CHEMBL3189,Enzyme,0.0978745343258,10 /  0     ,NA,NA
Alcohol dehydrogenase alpha chain,ADH1A,P07327,CHEMBL1970,Oxidoreductase,0.0743164735672,0 /  18     ,NA,NA
Alcohol dehydrogenase beta chain,ADH1B,P00325,CHEMBL3284,Oxidoreductase,0.033970689612,0 /  8     ,NA,NA
Alcohol dehydrogenase gamma chain,ADH1C,P00326,CHEMBL3285,Oxidoreductase,0.033970689612,0 /  5     ,NA,NA
Adenosine kinase,ADK,P55263,CHEMBL3589,Enzyme,0.0535560755162,71 /  0     ,NA,NA
Adenosine A1 receptor,ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.0312265582077,294 /  0     ,NA,NA
Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.0312265582077,316 /  0     ,NA,NA
Adenosine A2b receptor,ADORA2B,P29275,CHEMBL255,Family A G protein-coupled receptor,0.0312265582077,161 /  0     ,NA,NA
Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.0238327432783,1 /  5     ,NA,NA
Alpha-1a adrenergic receptor,ADRA1A,P35348,CHEMBL229,Family A G protein-coupled receptor,0.0717871625222,3 /  31     ,NA,NA
Alpha-1b adrenergic receptor,ADRA1B,P35368,CHEMBL232,Family A G protein-coupled receptor,0.0439186325197,0 /  3     ,NA,NA
Alpha-1d adrenergic receptor,ADRA1D,P25100,CHEMBL223,Family A G protein-coupled receptor,0.0312265582077,8 /  0     ,NA,NA
Alpha-2a adrenergic receptor,ADRA2A,P08913,CHEMBL1867,Family A G protein-coupled receptor,0.0312265582077,0 /  7     ,NA,NA
Alpha-2b adrenergic receptor   (by homology),ADRA2B,P18089,CHEMBL1942,Family A G protein-coupled receptor,0.033970689612,0 /  9     ,NA,NA
