 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1978	 Cytochrome P450 19A1 
 2 	 CHEMBL2231	 Cytochrome P450 1A1 
 3 	 CHEMBL3356	 Cytochrome P450 1A2 
 4 	 CHEMBL4878	 Cytochrome P450 1B1 
 5 	 CHEMBL1741213	 Sentrin-specific protease 7 
 6 	 CHEMBL2622	 Aldose reductase 
 7 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 8 	 CHEMBL3105	 Poly [ADP-ribose] polymerase-1 
 9 	 CHEMBL3596075	 Beta-galactoside alpha-2,6-sialyltransferase 1 
 10 	 CHEMBL6154	 Tankyrase-2 
 11 	 CHEMBL6164	 Tankyrase-1 
 12 	 CHEMBL2085	 Macrophage migration inhibitory factor 
 13 	 CHEMBL1951	 Monoamine oxidase A 
 14 	 CHEMBL2039	 Monoamine oxidase B 
 15 	 CHEMBL2903	 Arachidonate 15-lipoxygenase 
 16 	 CHEMBL206	 Estrogen receptor alpha 
 17 	 CHEMBL1900	 Aldose reductase 
 18 	 CHEMBL1929	 Xanthine dehydrogenase 
 19 	 CHEMBL205	 Carbonic anhydrase II 
 20 	 CHEMBL2326	 Carbonic anhydrase VII 
