 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3594	 Carbonic anhydrase IX 
 2 	 CHEMBL3242	 Carbonic anhydrase XII 
 3 	 CHEMBL3510	 Carbonic anhydrase XIV 
 4 	 CHEMBL2326	 Carbonic anhydrase VII 
 5 	 CHEMBL261	 Carbonic anhydrase I 
 6 	 CHEMBL3969	 Carbonic anhydrase VB 
 7 	 CHEMBL4789	 Carbonic anhydrase VA 
 8 	 CHEMBL3025	 Carbonic anhydrase VI 
 9 	 CHEMBL3729	 Carbonic anhydrase IV 
 10 	 CHEMBL2885	 Carbonic anhydrase III 
 11 	 CHEMBL1951	 Monoamine oxidase A 
 12 	 CHEMBL2039	 Monoamine oxidase B 
 13 	 CHEMBL205	 Carbonic anhydrase II 
 14 	 CHEMBL3912	 Carbonic anhydrase XIII 
 15 	 CHEMBL5485	 D-amino-acid oxidase 
 16 	 CHEMBL5282	 Cytochrome P450 2A6 
 17 	 CHEMBL3356	 Cytochrome P450 1A2 
 18 	 CHEMBL220	 Acetylcholinesterase 
 19 	 CHEMBL225	 Serotonin 2c (5-HT2c) receptor 
 20 	 CHEMBL208	 Progesterone receptor 
