 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 2 	 CHEMBL1628461	 Oxoeicosanoid receptor 1 
 3 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
 4 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 5 	 CHEMBL218	 Cannabinoid CB1 receptor 
 6 	 CHEMBL3571	 Cannabinoid CB1 receptor 
 7 	 CHEMBL3979	 Peroxisome proliferator-activated receptor delta 
 8 	 CHEMBL2409	 Epoxide hydratase 
 9 	 CHEMBL2069	 Thromboxane A2 receptor 
 10 	 CHEMBL2243	 Anandamide amidohydrolase 
 11 	 CHEMBL253	 Cannabinoid CB2 receptor 
 12 	 CHEMBL1835	 Thromboxane-A synthase 
 13 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 14 	 CHEMBL3156	 Thromboxane A2 receptor 
 15 	 CHEMBL325	 Histone deacetylase 1 
 16 	 CHEMBL4794	 Vanilloid receptor 
 17 	 CHEMBL3229	 Anandamide amidohydrolase 
 18 	 CHEMBL3819	 Lysophosphatidic acid receptor Edg-2 
 19 	 CHEMBL1937	 Histone deacetylase 2 
 20 	 CHEMBL3250	 Lysophosphatidic acid receptor Edg-7 
