 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL261	 Carbonic anhydrase I 
 3 	 CHEMBL3594	 Carbonic anhydrase IX 
 4 	 CHEMBL204	 Thrombin 
 5 	 CHEMBL4789	 Carbonic anhydrase VA 
 6 	 CHEMBL220	 Acetylcholinesterase 
 7 	 CHEMBL2326	 Carbonic anhydrase VII 
 8 	 CHEMBL3242	 Carbonic anhydrase XII 
 9 	 CHEMBL3510	 Carbonic anhydrase XIV 
 10 	 CHEMBL3969	 Carbonic anhydrase VB 
 11 	 CHEMBL252	 Endothelin receptor ET-A 
 12 	 CHEMBL3025	 Carbonic anhydrase VI 
 13 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 14 	 CHEMBL2885	 Carbonic anhydrase III 
 15 	 CHEMBL3729	 Carbonic anhydrase IV 
 16 	 CHEMBL332	 Matrix metalloproteinase-1 
 17 	 CHEMBL280	 Matrix metalloproteinase 13 
 18 	 CHEMBL1900	 Aldose reductase 
 19 	 CHEMBL5857	 Trace amine-associated receptor 1 
 20 	 CHEMBL333	 Matrix metalloproteinase-2 
