 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL4302	 P-glycoprotein 1 
 2 	 CHEMBL2231	 Cytochrome P450 1A1 
 3 	 CHEMBL4878	 Cytochrome P450 1B1 
 4 	 CHEMBL3356	 Cytochrome P450 1A2 
 5 	 CHEMBL5393	 ATP-binding cassette sub-family G member 2 
 6 	 CHEMBL318	 Adenosine A1 receptor 
 7 	 CHEMBL6164	 Tankyrase-1 
 8 	 CHEMBL1871	 Androgen Receptor 
 9 	 CHEMBL2622	 Aldose reductase 
 10 	 CHEMBL1929	 Xanthine dehydrogenase 
 11 	 CHEMBL206	 Estrogen receptor alpha 
 12 	 CHEMBL2326	 Carbonic anhydrase VII 
 13 	 CHEMBL242	 Estrogen receptor beta 
 14 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 15 	 CHEMBL6154	 Tankyrase-2 
 16 	 CHEMBL1978	 Cytochrome P450 19A1 
 17 	 CHEMBL205	 Carbonic anhydrase II 
 18 	 CHEMBL1951	 Monoamine oxidase A 
 19 	 CHEMBL256	 Adenosine A3 receptor 
 20 	 CHEMBL3729	 Carbonic anhydrase IV 
