 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL4822	 Beta-secretase 1 
 2 	 CHEMBL205	 Carbonic anhydrase II 
 3 	 CHEMBL261	 Carbonic anhydrase I 
 4 	 CHEMBL1293249	 Kruppel-like factor 5 
 5 	 CHEMBL1741207	 Sentrin-specific protease 8 
 6 	 CHEMBL1741213	 Sentrin-specific protease 7 
 7 	 CHEMBL1741215	 Sentrin-specific protease 6 
 8 	 CHEMBL2334	 Caspase-3 
 9 	 CHEMBL3105	 Poly [ADP-ribose] polymerase-1 
 10 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 11 	 CHEMBL1293267	 G-protein coupled receptor 35 
 12 	 CHEMBL3959	 Quinone reductase 2 
 13 	 CHEMBL1741179	 Probable DNA dC-&gt;dU-editing enzyme APOBEC-3A 
 14 	 CHEMBL325	 Histone deacetylase 1 
 15 	 CHEMBL4506	 NAD-dependent deacetylase sirtuin 1 
 16 	 CHEMBL1741217	 DNA dC-&gt;dU-editing enzyme APOBEC-3G 
 17 	 CHEMBL1795093	 Apoptotic protease-activating factor 1 
 18 	 CHEMBL4608	 Melanocortin receptor 5 
 19 	 CHEMBL1833	 Serotonin 2b (5-HT2b) receptor 
 20 	 CHEMBL225	 Serotonin 2c (5-HT2c) receptor 
