 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3247	 HMG-CoA reductase 
 2 	 CHEMBL402	 HMG-CoA reductase 
 3 	 CHEMBL333	 Matrix metalloproteinase-2 
 4 	 CHEMBL2334	 Caspase-3 
 5 	 CHEMBL4801	 Caspase-1 
 6 	 CHEMBL4422	 Free fatty acid receptor 1 
 7 	 CHEMBL205	 Carbonic anhydrase II 
 8 	 CHEMBL1944	 Neprilysin 
 9 	 CHEMBL321	 Matrix metalloproteinase 9 
 10 	 CHEMBL3776	 Caspase-8 
 11 	 CHEMBL261	 Carbonic anhydrase I 
 12 	 CHEMBL4393	 Matrix metalloproteinase 12 
 13 	 CHEMBL3468	 Caspase-7 
 14 	 CHEMBL6115	 Lysosomal protective protein 
 15 	 CHEMBL5666	 Disks large homolog 4 
 16 	 CHEMBL1628461	 Oxoeicosanoid receptor 1 
 17 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 18 	 CHEMBL1808	 Angiotensin-converting enzyme 
 19 	 CHEMBL5098	 Glutamate carboxypeptidase II 
 20 	 CHEMBL332	 Matrix metalloproteinase-1 
