 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL2326	 Carbonic anhydrase VII 
 3 	 CHEMBL261	 Carbonic anhydrase I 
 4 	 CHEMBL3025	 Carbonic anhydrase VI 
 5 	 CHEMBL3242	 Carbonic anhydrase XII 
 6 	 CHEMBL3510	 Carbonic anhydrase XIV 
 7 	 CHEMBL3594	 Carbonic anhydrase IX 
 8 	 CHEMBL3729	 Carbonic anhydrase IV 
 9 	 CHEMBL1293240	 Plectin 
 10 	 CHEMBL2885	 Carbonic anhydrase III 
 11 	 CHEMBL3969	 Carbonic anhydrase VB 
 12 	 CHEMBL4789	 Carbonic anhydrase VA 
 13 	 CHEMBL2372	 Catechol O-methyltransferase 
 14 	 CHEMBL220	 Acetylcholinesterase 
 15 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 16 	 CHEMBL1293226	 Lysine-specific demethylase 4D-like 
 17 	 CHEMBL210	 Beta-2 adrenergic receptor 
 18 	 CHEMBL213	 Beta-1 adrenergic receptor 
 19 	 CHEMBL2439	 Myeloperoxidase 
 20 	 CHEMBL6152	 Alpha-synuclein 
