 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1918	 Glutamate receptor ionotropic kainate 1 
 2 	 CHEMBL3683	 Glutamate receptor ionotropic kainate 2 
 3 	 CHEMBL3568	 Nitric-oxide synthase, brain 
 4 	 CHEMBL4481	 Nitric oxide synthase, inducible 
 5 	 CHEMBL3048	 Nitric-oxide synthase, brain 
 6 	 CHEMBL4328	 Betaine--homocysteine S-methyltransferase 1 
 7 	 CHEMBL2919	 Glutamate receptor ionotropic kainate 1 
 8 	 CHEMBL3976	 Dipeptidyl peptidase II 
 9 	 CHEMBL3744	 Glutamate receptor ionotropic kainate 3 
 10 	 CHEMBL5137	 Metabotropic glutamate receptor 2 
 11 	 CHEMBL2009	 Glutamate receptor ionotropic, AMPA 1 
 12 	 CHEMBL3190	 Glutamate receptor ionotropic, AMPA 4 
 13 	 CHEMBL4803	 Nitric-oxide synthase, endothelial 
 14 	 CHEMBL4016	 Glutamate receptor ionotropic, AMPA 2 
 15 	 CHEMBL1907	 Aminopeptidase N 
 16 	 CHEMBL261	 Carbonic anhydrase I 
 17 	 CHEMBL3503	 Glutamate receptor ionotropic, AMPA 2 
 18 	 CHEMBL205	 Carbonic anhydrase II 
 19 	 CHEMBL2888	 Metabotropic glutamate receptor 3 
 20 	 CHEMBL3753	 Glutamate receptor ionotropic, AMPA 1 
