 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL202	 Dihydrofolate reductase 
 2 	 CHEMBL1865	 Histone deacetylase 6 
 3 	 CHEMBL2363	 Dihydrofolate reductase 
 4 	 CHEMBL325	 Histone deacetylase 1 
 5 	 CHEMBL1952	 Thymidylate synthase 
 6 	 CHEMBL3192	 Histone deacetylase 8 
 7 	 CHEMBL261	 Carbonic anhydrase I 
 8 	 CHEMBL3972	 GAR transformylase 
 9 	 CHEMBL3594	 Carbonic anhydrase IX 
 10 	 CHEMBL3171	 Folylpoly-gamma-glutamate synthetase 
 11 	 CHEMBL4833	 Folate transporter 1 
 12 	 CHEMBL205	 Carbonic anhydrase II 
 13 	 CHEMBL1795188	 Proton-coupled folate transporter 
 14 	 CHEMBL2121	 Folate receptor alpha 
 15 	 CHEMBL3242	 Carbonic anhydrase XII 
 16 	 CHEMBL5064	 Folate receptor beta 
 17 	 CHEMBL5098	 Glutamate carboxypeptidase II 
 18 	 CHEMBL6009	 Diacylglycerol O-acyltransferase 1 
 19 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 20 	 CHEMBL2871	 Cholecystokinin A receptor 
