 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL206	 Estrogen receptor alpha 
 2 	 CHEMBL242	 Estrogen receptor beta 
 3 	 CHEMBL221	 Cyclooxygenase-1 
 4 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 5 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 6 	 CHEMBL230	 Cyclooxygenase-2 
 7 	 CHEMBL2622	 Aldose reductase 
 8 	 CHEMBL1951	 Monoamine oxidase A 
 9 	 CHEMBL3242	 Carbonic anhydrase XII 
 10 	 CHEMBL321	 Matrix metalloproteinase 9 
 11 	 CHEMBL2492	 Neuronal acetylcholine receptor protein alpha-7 subunit 
 12 	 CHEMBL333	 Matrix metalloproteinase-2 
 13 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 14 	 CHEMBL3180	 Carboxylesterase 2 
 15 	 CHEMBL2326	 Carbonic anhydrase VII 
 16 	 CHEMBL261	 Carbonic anhydrase I 
 17 	 CHEMBL3594	 Carbonic anhydrase IX 
 18 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 19 	 CHEMBL3959	 Quinone reductase 2 
 20 	 CHEMBL205	 Carbonic anhydrase II 
