 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL340	 Cytochrome P450 3A4 
 2 	 CHEMBL1978	 Cytochrome P450 19A1 
 3 	 CHEMBL339	 Dopamine D2 receptor 
 4 	 CHEMBL325	 Histone deacetylase 1 
 5 	 CHEMBL205	 Carbonic anhydrase II 
 6 	 CHEMBL214	 Serotonin 1a (5-HT1a) receptor 
 7 	 CHEMBL5113	 Orexin receptor 1 
 8 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 9 	 CHEMBL3199	 Acetylcholinesterase 
 10 	 CHEMBL338	 Dopamine transporter 
 11 	 CHEMBL261	 Carbonic anhydrase I 
 12 	 CHEMBL4792	 Orexin receptor 2 
 13 	 CHEMBL253	 Cannabinoid CB2 receptor 
 14 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 15 	 CHEMBL333	 Matrix metalloproteinase-2 
 16 	 CHEMBL228	 Serotonin transporter 
 17 	 CHEMBL275	 Phosphodiesterase 4B 
 18 	 CHEMBL4822	 Beta-secretase 1 
 19 	 CHEMBL220	 Acetylcholinesterase 
 20 	 CHEMBL4302	 P-glycoprotein 1 
