 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL340	 Cytochrome P450 3A4 
 2 	 CHEMBL1978	 Cytochrome P450 19A1 
 3 	 CHEMBL2903	 Arachidonate 15-lipoxygenase 
 4 	 CHEMBL333	 Matrix metalloproteinase-2 
 5 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 6 	 CHEMBL321	 Matrix metalloproteinase 9 
 7 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 8 	 CHEMBL332	 Matrix metalloproteinase-1 
 9 	 CHEMBL4234	 Estradiol 17-beta-dehydrogenase 3 
 10 	 CHEMBL1957	 Insulin-like growth factor I receptor 
 11 	 CHEMBL238	 Dopamine transporter 
 12 	 CHEMBL2039	 Monoamine oxidase B 
 13 	 CHEMBL339	 Dopamine D2 receptor 
 14 	 CHEMBL3305	 Testis-specific androgen-binding protein 
 15 	 CHEMBL3402	 Alkaline phosphatase placental-like 
 16 	 CHEMBL3397	 Cytochrome P450 2C9 
 17 	 CHEMBL2741	 Arachidonate 12-lipoxygenase 
 18 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 19 	 CHEMBL1900	 Aldose reductase 
 20 	 CHEMBL2326	 Carbonic anhydrase VII 
