 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1293226	 Lysine-specific demethylase 4D-like 
 2 	 CHEMBL1929	 Xanthine dehydrogenase 
 3 	 CHEMBL2231	 Cytochrome P450 1A1 
 4 	 CHEMBL2741	 Arachidonate 12-lipoxygenase 
 5 	 CHEMBL2903	 Arachidonate 15-lipoxygenase 
 6 	 CHEMBL308	 Cyclin-dependent kinase 1 
 7 	 CHEMBL3687	 Arachidonate 12-lipoxygenase 
 8 	 CHEMBL4878	 Cytochrome P450 1B1 
 9 	 CHEMBL3114	 Sucrase-isomaltase 
 10 	 CHEMBL1914	 Butyrylcholinesterase 
 11 	 CHEMBL220	 Acetylcholinesterase 
 12 	 CHEMBL2326	 Carbonic anhydrase VII 
 13 	 CHEMBL256	 Adenosine A3 receptor 
 14 	 CHEMBL302	 Adenosine A2a receptor 
 15 	 CHEMBL318	 Adenosine A1 receptor 
 16 	 CHEMBL3242	 Carbonic anhydrase XII 
 17 	 CHEMBL3356	 Cytochrome P450 1A2 
 18 	 CHEMBL3729	 Carbonic anhydrase IV 
 19 	 CHEMBL4302	 P-glycoprotein 1 
 20 	 CHEMBL2622	 Aldose reductase 
