 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 2 	 CHEMBL1903	 GABA transporter 1 
 3 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 4 	 CHEMBL341	 GABA receptor alpha-2 subunit 
 5 	 CHEMBL4054	 GABA transporter 1 
 6 	 CHEMBL2753	 GABA-B receptor 1 
 7 	 CHEMBL273	 Serotonin 1a (5-HT1a) receptor 
 8 	 CHEMBL3439	 Aminopeptidase A 
 9 	 CHEMBL3965	 Leucine aminopeptidase 
 10 	 CHEMBL1907	 Aminopeptidase N 
 11 	 CHEMBL330	 Glutamate (NMDA) receptor subunit zeta 1 
 12 	 CHEMBL3511	 Ornithine decarboxylase 
 13 	 CHEMBL205	 Carbonic anhydrase II 
 14 	 CHEMBL261	 Carbonic anhydrase I 
 15 	 CHEMBL3242	 Carbonic anhydrase XII 
 16 	 CHEMBL3594	 Carbonic anhydrase IX 
 17 	 CHEMBL1743125	 Solute carrier family 15 member 2 
 18 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 19 	 CHEMBL1865	 Histone deacetylase 6 
 20 	 CHEMBL1937	 Histone deacetylase 2 
