 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 2 	 CHEMBL330	 Glutamate (NMDA) receptor subunit zeta 1 
 3 	 CHEMBL3238	 Carnitine palmitoyltransferase 2 
 4 	 CHEMBL4037	 Carnitine palmitoyltransferase 2 
 5 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 6 	 CHEMBL5098	 Glutamate carboxypeptidase II 
 7 	 CHEMBL3965	 Leucine aminopeptidase 
 8 	 CHEMBL1944	 Neprilysin 
 9 	 CHEMBL402	 HMG-CoA reductase 
 10 	 CHEMBL2163175	 Gamma-butyrobetaine dioxygenase 
 11 	 CHEMBL4328	 Betaine--homocysteine S-methyltransferase 1 
 12 	 CHEMBL5697	 Egl nine homolog 1 
 13 	 CHEMBL1829	 Histone deacetylase 3 
 14 	 CHEMBL1743125	 Solute carrier family 15 member 2 
 15 	 CHEMBL4791	 Endothelin-converting enzyme 1 
 16 	 CHEMBL3247	 HMG-CoA reductase 
 17 	 CHEMBL1907	 Aminopeptidase N 
 18 	 CHEMBL3439	 Aminopeptidase A 
 19 	 CHEMBL280	 Matrix metalloproteinase 13 
 20 	 CHEMBL4393	 Matrix metalloproteinase 12 
