 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL261	 Carbonic anhydrase I 
 3 	 CHEMBL3242	 Carbonic anhydrase XII 
 4 	 CHEMBL3594	 Carbonic anhydrase IX 
 5 	 CHEMBL2664	 Adenosylhomocysteinase 
 6 	 CHEMBL3721	 Cytochrome P450 2C8 
 7 	 CHEMBL318	 Adenosine A1 receptor 
 8 	 CHEMBL2265	 Acyl coenzyme A:cholesterol acyltransferase 
 9 	 CHEMBL2073676	 Canalicular multispecific organic anion transporter 1 
 10 	 CHEMBL1781859	 Solute carrier organic anion transporter family member 1A1 
 11 	 CHEMBL2718	 Metabotropic glutamate receptor 8 
 12 	 CHEMBL2787	 Metabotropic glutamate receptor 4 
 13 	 CHEMBL2851	 Metabotropic glutamate receptor 2 
 14 	 CHEMBL2888	 Metabotropic glutamate receptor 3 
 15 	 CHEMBL3067	 Metabotropic glutamate receptor 3 
 16 	 CHEMBL3842	 Metabotropic glutamate receptor 6 
 17 	 CHEMBL5137	 Metabotropic glutamate receptor 2 
 18 	 CHEMBL2622	 Aldose reductase 
 19 	 CHEMBL230	 Cyclooxygenase-2 
 20 	 CHEMBL2003	 Retinoic acid receptor gamma 
