 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL236	 Delta opioid receptor 
 2 	 CHEMBL206	 Estrogen receptor alpha 
 3 	 CHEMBL233	 Mu opioid receptor 
 4 	 CHEMBL237	 Kappa opioid receptor 
 5 	 CHEMBL270	 Mu opioid receptor 
 6 	 CHEMBL242	 Estrogen receptor beta 
 7 	 CHEMBL269	 Delta opioid receptor 
 8 	 CHEMBL210	 Beta-2 adrenergic receptor 
 9 	 CHEMBL321	 Matrix metalloproteinase 9 
 10 	 CHEMBL338	 Dopamine transporter 
 11 	 CHEMBL213	 Beta-1 adrenergic receptor 
 12 	 CHEMBL246	 Beta-3 adrenergic receptor 
 13 	 CHEMBL313	 Serotonin transporter 
 14 	 CHEMBL333	 Matrix metalloproteinase-2 
 15 	 CHEMBL332	 Matrix metalloproteinase-1 
 16 	 CHEMBL261	 Carbonic anhydrase I 
 17 	 CHEMBL205	 Carbonic anhydrase II 
 18 	 CHEMBL3884	 Sodium/glucose cotransporter 2 
 19 	 CHEMBL2789	 Estradiol 17-beta-dehydrogenase 2 
 20 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
