 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL206	 Estrogen receptor alpha 
 2 	 CHEMBL242	 Estrogen receptor beta 
 3 	 CHEMBL210	 Beta-2 adrenergic receptor 
 4 	 CHEMBL4789	 Carbonic anhydrase VA 
 5 	 CHEMBL2326	 Carbonic anhydrase VII 
 6 	 CHEMBL3510	 Carbonic anhydrase XIV 
 7 	 CHEMBL3884	 Sodium/glucose cotransporter 2 
 8 	 CHEMBL3969	 Carbonic anhydrase VB 
 9 	 CHEMBL321	 Matrix metalloproteinase 9 
 10 	 CHEMBL221	 Cyclooxygenase-1 
 11 	 CHEMBL3729	 Carbonic anhydrase IV 
 12 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 13 	 CHEMBL333	 Matrix metalloproteinase-2 
 14 	 CHEMBL3025	 Carbonic anhydrase VI 
 15 	 CHEMBL205	 Carbonic anhydrase II 
 16 	 CHEMBL1860	 Thyroid hormone receptor alpha 
 17 	 CHEMBL1947	 Thyroid hormone receptor beta-1 
 18 	 CHEMBL332	 Matrix metalloproteinase-1 
 19 	 CHEMBL1991	 Inhibitor of nuclear factor kappa B kinase beta subunit 
 20 	 CHEMBL202	 Dihydrofolate reductase 
