 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL206	 Estrogen receptor alpha 
 2 	 CHEMBL242	 Estrogen receptor beta 
 3 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 4 	 CHEMBL1951	 Monoamine oxidase A 
 5 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 6 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 7 	 CHEMBL2039	 Monoamine oxidase B 
 8 	 CHEMBL284	 Dipeptidyl peptidase IV 
 9 	 CHEMBL210	 Beta-2 adrenergic receptor 
 10 	 CHEMBL2993	 Monoamine oxidase B 
 11 	 CHEMBL3181	 Estradiol 17-beta-dehydrogenase 1 
 12 	 CHEMBL253	 Cannabinoid CB2 receptor 
 13 	 CHEMBL226	 Adenosine A1 receptor 
 14 	 CHEMBL5857	 Trace amine-associated receptor 1 
 15 	 CHEMBL2789	 Estradiol 17-beta-dehydrogenase 2 
 16 	 CHEMBL225	 Serotonin 2c (5-HT2c) receptor 
 17 	 CHEMBL1978	 Cytochrome P450 19A1 
 18 	 CHEMBL324	 Serotonin 2c (5-HT2c) receptor 
 19 	 CHEMBL322	 Serotonin 2a (5-HT2a) receptor 
 20 	 CHEMBL218	 Cannabinoid CB1 receptor 
