 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL5857	 Trace amine-associated receptor 1 
 2 	 CHEMBL2993	 Monoamine oxidase B 
 3 	 CHEMBL3358	 Monoamine oxidase A 
 4 	 CHEMBL5098	 Glutamate carboxypeptidase II 
 5 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 6 	 CHEMBL222	 Norepinephrine transporter 
 7 	 CHEMBL228	 Serotonin transporter 
 8 	 CHEMBL238	 Dopamine transporter 
 9 	 CHEMBL1898	 Serotonin 1b (5-HT1b) receptor 
 10 	 CHEMBL205	 Carbonic anhydrase II 
 11 	 CHEMBL3242	 Carbonic anhydrase XII 
 12 	 CHEMBL3969	 Carbonic anhydrase VB 
 13 	 CHEMBL4789	 Carbonic anhydrase VA 
 14 	 CHEMBL4086	 Prostanoid EP4 receptor 
 15 	 CHEMBL1973	 Tyrosinase 
 16 	 CHEMBL2085	 Macrophage migration inhibitory factor 
 17 	 CHEMBL4282	 Serine/threonine-protein kinase AKT 
 18 	 CHEMBL2326	 Carbonic anhydrase VII 
 19 	 CHEMBL261	 Carbonic anhydrase I 
 20 	 CHEMBL3510	 Carbonic anhydrase XIV 
