 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL206	 Estrogen receptor alpha 
 2 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 3 	 CHEMBL2492	 Neuronal acetylcholine receptor protein alpha-7 subunit 
 4 	 CHEMBL1973	 Tyrosinase 
 5 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 6 	 CHEMBL2916	 Telomerase reverse transcriptase 
 7 	 CHEMBL6152	 Alpha-synuclein 
 8 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 9 	 CHEMBL1250375	 NADPH oxidase 4 
 10 	 CHEMBL5284	 CaM-kinase kinase beta 
 11 	 CHEMBL2622	 Aldose reductase 
 12 	 CHEMBL1293224	 Microtubule-associated protein tau 
 13 	 CHEMBL4822	 Beta-secretase 1 
 14 	 CHEMBL1957	 Insulin-like growth factor I receptor 
 15 	 CHEMBL2903	 Arachidonate 15-lipoxygenase 
 16 	 CHEMBL1929	 Xanthine dehydrogenase 
 17 	 CHEMBL4860	 Apoptosis regulator Bcl-2 
 18 	 CHEMBL3959	 Quinone reductase 2 
 19 	 CHEMBL1163101	 Serine/threonine-protein kinase/endoribonuclease IRE1 
 20 	 CHEMBL3161	 Leukocyte adhesion molecule-1 
