 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1250375	 NADPH oxidase 4 
 2 	 CHEMBL3587	 Dual specificity mitogen-activated protein kinase kinase 1 
 3 	 CHEMBL1973	 Tyrosinase 
 4 	 CHEMBL2736	 Metabotropic glutamate receptor 4 
 5 	 CHEMBL2787	 Metabotropic glutamate receptor 4 
 6 	 CHEMBL340	 Cytochrome P450 3A4 
 7 	 CHEMBL1951	 Monoamine oxidase A 
 8 	 CHEMBL2039	 Monoamine oxidase B 
 9 	 CHEMBL206	 Estrogen receptor alpha 
 10 	 CHEMBL242	 Estrogen receptor beta 
 11 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 12 	 CHEMBL3194	 Transthyretin 
 13 	 CHEMBL1293240	 Plectin 
 14 	 CHEMBL3880	 Heat shock protein HSP 90-alpha 
 15 	 CHEMBL1978	 Cytochrome P450 19A1 
 16 	 CHEMBL4804	 Dual specificity phosphatase Cdc25B 
 17 	 CHEMBL1741213	 Sentrin-specific protease 7 
 18 	 CHEMBL2492	 Neuronal acetylcholine receptor protein alpha-7 subunit 
 19 	 CHEMBL289	 Cytochrome P450 2D6 
 20 	 CHEMBL3397	 Cytochrome P450 2C9 
