 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2372	 Catechol O-methyltransferase 
 2 	 CHEMBL1957	 Insulin-like growth factor I receptor 
 3 	 CHEMBL1981	 Insulin receptor 
 4 	 CHEMBL267	 Tyrosine-protein kinase SRC 
 5 	 CHEMBL3730	 Dihydropteridine reductase 
 6 	 CHEMBL2535	 Glucose transporter 
 7 	 CHEMBL234	 Dopamine D3 receptor 
 8 	 CHEMBL2073673	 Solute carrier family 22 member 3 
 9 	 CHEMBL210	 Beta-2 adrenergic receptor 
 10 	 CHEMBL213	 Beta-1 adrenergic receptor 
 11 	 CHEMBL246	 Beta-3 adrenergic receptor 
 12 	 CHEMBL3252	 Beta-1 adrenergic receptor 
 13 	 CHEMBL3754	 Beta-2 adrenergic receptor 
 14 	 CHEMBL4031	 Beta-3 adrenergic receptor 
 15 	 CHEMBL2056	 Dopamine D1 receptor 
 16 	 CHEMBL265	 Dopamine D1 receptor 
 17 	 CHEMBL339	 Dopamine D2 receptor 
 18 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 19 	 CHEMBL2741	 Arachidonate 12-lipoxygenase 
 20 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
