 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 2 	 CHEMBL1957	 Insulin-like growth factor I receptor 
 3 	 CHEMBL2903	 Arachidonate 15-lipoxygenase 
 4 	 CHEMBL1293226	 Lysine-specific demethylase 4D-like 
 5 	 CHEMBL1850	 Dopamine D5 receptor 
 6 	 CHEMBL1945	 Melatonin receptor 1A 
 7 	 CHEMBL1946	 Melatonin receptor 1B 
 8 	 CHEMBL2056	 Dopamine D1 receptor 
 9 	 CHEMBL217	 Dopamine D2 receptor 
 10 	 CHEMBL219	 Dopamine D4 receptor 
 11 	 CHEMBL222	 Norepinephrine transporter 
 12 	 CHEMBL234	 Dopamine D3 receptor 
 13 	 CHEMBL238	 Dopamine transporter 
 14 	 CHEMBL2592	 Adenosine A2b receptor 
 15 	 CHEMBL265	 Dopamine D1 receptor 
 16 	 CHEMBL3138	 Dopamine D3 receptor 
 17 	 CHEMBL3361	 Dopamine D4 receptor 
 18 	 CHEMBL338	 Dopamine transporter 
 19 	 CHEMBL339	 Dopamine D2 receptor 
 20 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
