Rank,ChEMBL ID,Common name,CHEMBL3687,CHEMBL229,B0ZBD8
1,CHEMBL3687,Arachidonate 12-lipoxygenase,NA,NA,NA
2,CHEMBL2903,Arachidonate 15-lipoxygenase,NA,NA,NA
3,CHEMBL1978,Cytochrome P450 19A1,NA,NA,NA
4,CHEMBL335,Protein-tyrosine phosphatase 1B,NA,NA,NA
5,CHEMBL220,Acetylcholinesterase,NA,NA,NA
6,CHEMBL340,Cytochrome P450 3A4,NA,NA,NA
7,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
8,CHEMBL3199,Acetylcholinesterase,NA,NA,NA
9,CHEMBL2041,Tyrosine-protein kinase receptor RET,NA,NA,NA
10,CHEMBL2231,Cytochrome P450 1A1,NA,NA,NA
11,CHEMBL2326,Carbonic anhydrase VII,NA,NA,NA
12,CHEMBL3242,Carbonic anhydrase XII,NA,NA,NA
13,CHEMBL3729,Carbonic anhydrase IV,NA,NA,NA
14,CHEMBL4878,Cytochrome P450 1B1,NA,NA,NA
15,CHEMBL265,Dopamine D1 receptor,NA,NA,NA
16,CHEMBL339,Dopamine D2 receptor,NA,NA,NA
17,CHEMBL235,Peroxisome proliferator-activated receptor gamma,NA,NA,NA
18,CHEMBL256,Adenosine A3 receptor,NA,NA,NA
19,CHEMBL318,Adenosine A1 receptor,NA,NA,NA
20,CHEMBL214,Serotonin 1a (5-HT1a) receptor,NA,NA,NA
1,CHEMBL3687,Arachidonate 12-lipoxygenase,NA,NA,NA
2,CHEMBL256,Adenosine A3 receptor,NA,NA,NA
3,CHEMBL318,Adenosine A1 receptor,NA,NA,NA
4,CHEMBL2231,Cytochrome P450 1A1,NA,NA,NA
5,CHEMBL3356,Cytochrome P450 1A2,NA,NA,NA
6,CHEMBL4878,Cytochrome P450 1B1,NA,NA,NA
7,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
8,CHEMBL242,Estrogen receptor beta,NA,NA,NA
9,CHEMBL1978,Cytochrome P450 19A1,NA,NA,NA
10,CHEMBL2039,Monoamine oxidase B,NA,NA,NA
11,CHEMBL4302,P-glycoprotein 1,NA,NA,NA
12,CHEMBL2326,Carbonic anhydrase VII,NA,NA,NA
13,CHEMBL2789,Estradiol 17-beta-dehydrogenase 2,NA,NA,NA
14,CHEMBL3242,Carbonic anhydrase XII,NA,NA,NA
15,CHEMBL3729,Carbonic anhydrase IV,NA,NA,NA
16,CHEMBL5586,Carbonyl reductase [NADPH] 1,NA,NA,NA
17,CHEMBL1974,Tyrosine-protein kinase receptor FLT3,NA,NA,NA
18,CHEMBL3116,Cyclin-dependent kinase 9,NA,NA,NA
19,CHEMBL5719,Cell division protein kinase 8,NA,NA,NA
20,CHEMBL1935,Aldehyde dehydrogenase,NA,NA,NA
1,CHEMBL3687,Arachidonate 12-lipoxygenase,NA,NA,NA
2,CHEMBL242,Estrogen receptor beta,NA,NA,NA
3,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
4,CHEMBL2724,Estrogen receptor alpha,NA,NA,NA
5,CHEMBL2903,Arachidonate 15-lipoxygenase,NA,NA,NA
6,CHEMBL2085,Macrophage migration inhibitory factor,NA,NA,NA
7,CHEMBL221,Cyclooxygenase-1,NA,NA,NA
8,CHEMBL3587,Dual specificity mitogen-activated protein kinase kinase 1,NA,NA,NA
9,CHEMBL4040,MAP kinase ERK2,NA,NA,NA
10,CHEMBL3199,Acetylcholinesterase,NA,NA,NA
11,CHEMBL1929,Xanthine dehydrogenase,NA,NA,NA
12,CHEMBL2331053,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",NA,NA,NA
13,CHEMBL1935,Aldehyde dehydrogenase,NA,NA,NA
14,CHEMBL228,Serotonin transporter,NA,NA,NA
15,CHEMBL4581,Kinesin-like protein 1,NA,NA,NA
16,CHEMBL1163101,Serine/threonine-protein kinase/endoribonuclease IRE1,NA,NA,NA
17,CHEMBL1978,Cytochrome P450 19A1,NA,NA,NA
18,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,NA,NA,NA
19,CHEMBL3108660,Von Hippel-Lindau disease tumor suppressor,NA,NA,NA
20,CHEMBL203,Epidermal growth factor receptor erbB1,NA,NA,NA
1,CHEMBL1978,Cytochrome P450 19A1,NA,NA,NA
2,CHEMBL217,Dopamine D2 receptor,NA,NA,NA
3,CHEMBL339,Dopamine D2 receptor,NA,NA,NA
4,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
5,CHEMBL242,Estrogen receptor beta,NA,NA,NA
6,CHEMBL265,Dopamine D1 receptor,NA,NA,NA
7,CHEMBL2056,Dopamine D1 receptor,NA,NA,NA
8,CHEMBL2039,Monoamine oxidase B,NA,NA,NA
9,CHEMBL220,Acetylcholinesterase,NA,NA,NA
10,CHEMBL3199,Acetylcholinesterase,NA,NA,NA
11,CHEMBL4302,P-glycoprotein 1,NA,NA,NA
12,CHEMBL2326,Carbonic anhydrase VII,NA,NA,NA
13,CHEMBL214,Serotonin 1a (5-HT1a) receptor,NA,NA,NA
14,CHEMBL273,Serotonin 1a (5-HT1a) receptor,NA,NA,NA
15,CHEMBL234,Dopamine D3 receptor,NA,NA,NA
16,CHEMBL338,Dopamine transporter,NA,NA,NA
17,CHEMBL3594,Carbonic anhydrase IX,NA,NA,NA
18,CHEMBL313,Serotonin transporter,NA,NA,NA
19,CHEMBL3242,Carbonic anhydrase XII,NA,NA,NA
20,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
1,CHEMBL1978,Cytochrome P450 19A1,NA,NA,NA
2,CHEMBL2326,Carbonic anhydrase VII,NA,NA,NA
3,CHEMBL3687,Arachidonate 12-lipoxygenase,NA,NA,NA
4,CHEMBL2903,Arachidonate 15-lipoxygenase,NA,NA,NA
5,CHEMBL2039,Monoamine oxidase B,NA,NA,NA
