 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3507	 Mineralocorticoid receptor 
 2 	 CHEMBL242	 Estrogen receptor beta 
 3 	 CHEMBL3401	 Pregnane X receptor 
 4 	 CHEMBL4303	 Heat shock protein HSP 90-beta 
 5 	 CHEMBL4204	 MAP kinase signal-integrating kinase 2 
 6 	 CHEMBL236	 Delta opioid receptor 
 7 	 CHEMBL206	 Estrogen receptor alpha 
 8 	 CHEMBL4026	 Signal transducer and activator of transcription 3 
 9 	 CHEMBL5586	 Carbonyl reductase [NADPH] 1 
 10 	 CHEMBL2231	 Cytochrome P450 1A1 
 11 	 CHEMBL3356	 Cytochrome P450 1A2 
 12 	 CHEMBL4878	 Cytochrome P450 1B1 
 13 	 CHEMBL5469	 Protein tyrosine kinase 2 beta 
 14 	 CHEMBL2326	 Carbonic anhydrase VII 
 15 	 CHEMBL3242	 Carbonic anhydrase XII 
 16 	 CHEMBL3729	 Carbonic anhydrase IV 
 17 	 CHEMBL1978	 Cytochrome P450 19A1 
 18 	 CHEMBL3004	 Multidrug resistance-associated protein 1 
 19 	 CHEMBL3181	 Estradiol 17-beta-dehydrogenase 1 
 20 	 CHEMBL3305	 Testis-specific androgen-binding protein 
