 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL261	 Carbonic anhydrase I 
 2 	 CHEMBL3594	 Carbonic anhydrase IX 
 3 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 4 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 5 	 CHEMBL265	 Dopamine D1 receptor 
 6 	 CHEMBL339	 Dopamine D2 receptor 
 7 	 CHEMBL2163175	 Gamma-butyrobetaine dioxygenase 
 8 	 CHEMBL1829	 Histone deacetylase 3 
 9 	 CHEMBL6007	 Transient receptor potential cation channel subfamily A member 1 
 10 	 CHEMBL205	 Carbonic anhydrase II 
 11 	 CHEMBL2326	 Carbonic anhydrase VII 
 12 	 CHEMBL3025	 Carbonic anhydrase VI 
 13 	 CHEMBL3729	 Carbonic anhydrase IV 
 14 	 CHEMBL4729	 Cytochrome P450 2B6 
 15 	 CHEMBL268	 Cathepsin K 
 16 	 CHEMBL3837	 Cathepsin L 
 17 	 CHEMBL4072	 Cathepsin B 
 18 	 CHEMBL5485	 D-amino-acid oxidase 
 19 	 CHEMBL1641347	 Solute carrier family 22 member 6 
 20 	 CHEMBL1641348	 Solute carrier family 22 member 8 
