 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL340	 Cytochrome P450 3A4 
 2 	 CHEMBL1978	 Cytochrome P450 19A1 
 3 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 4 	 CHEMBL2903	 Arachidonate 15-lipoxygenase 
 5 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 6 	 CHEMBL333	 Matrix metalloproteinase-2 
 7 	 CHEMBL4234	 Estradiol 17-beta-dehydrogenase 3 
 8 	 CHEMBL3305	 Testis-specific androgen-binding protein 
 9 	 CHEMBL238	 Dopamine transporter 
 10 	 CHEMBL253	 Cannabinoid CB2 receptor 
 11 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 12 	 CHEMBL324	 Serotonin 2c (5-HT2c) receptor 
 13 	 CHEMBL322	 Serotonin 2a (5-HT2a) receptor 
 14 	 CHEMBL3025	 Carbonic anhydrase VI 
 15 	 CHEMBL1957	 Insulin-like growth factor I receptor 
 16 	 CHEMBL321	 Matrix metalloproteinase 9 
 17 	 CHEMBL4235	 11-beta-hydroxysteroid dehydrogenase 1 
 18 	 CHEMBL2487	 Beta amyloid A4 protein 
 19 	 CHEMBL2326	 Carbonic anhydrase VII 
 20 	 CHEMBL3594	 Carbonic anhydrase IX 
