 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2622	 Aldose reductase 
 2 	 CHEMBL2073676	 Canalicular multispecific organic anion transporter 1 
 3 	 CHEMBL2345	 Ribosomal protein S6 kinase alpha 3 
 4 	 CHEMBL3242	 Carbonic anhydrase XII 
 5 	 CHEMBL2326	 Carbonic anhydrase VII 
 6 	 CHEMBL1900	 Aldose reductase 
 7 	 CHEMBL205	 Carbonic anhydrase II 
 8 	 CHEMBL3004	 Multidrug resistance-associated protein 1 
 9 	 CHEMBL2147	 Serine/threonine-protein kinase PIM1 
 10 	 CHEMBL338	 Dopamine transporter 
 11 	 CHEMBL270	 Mu opioid receptor 
 12 	 CHEMBL308	 Cyclin-dependent kinase 1 
 13 	 CHEMBL1825	 TNF-alpha 
 14 	 CHEMBL260	 MAP kinase p38 alpha 
 15 	 CHEMBL261	 Carbonic anhydrase I 
 16 	 CHEMBL3729	 Carbonic anhydrase IV 
 17 	 CHEMBL3594	 Carbonic anhydrase IX 
 18 	 CHEMBL230	 Cyclooxygenase-2 
 19 	 CHEMBL5573	 Intestinal alkaline phosphatase 
 20 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
