 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 2 	 CHEMBL333	 Matrix metalloproteinase-2 
 3 	 CHEMBL321	 Matrix metalloproteinase 9 
 4 	 CHEMBL332	 Matrix metalloproteinase-1 
 5 	 CHEMBL3510	 Carbonic anhydrase XIV 
 6 	 CHEMBL2326	 Carbonic anhydrase VII 
 7 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 8 	 CHEMBL3594	 Carbonic anhydrase IX 
 9 	 CHEMBL3242	 Carbonic anhydrase XII 
 10 	 CHEMBL261	 Carbonic anhydrase I 
 11 	 CHEMBL3025	 Carbonic anhydrase VI 
 12 	 CHEMBL205	 Carbonic anhydrase II 
 13 	 CHEMBL4789	 Carbonic anhydrase VA 
 14 	 CHEMBL3969	 Carbonic anhydrase VB 
 15 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 16 	 CHEMBL325	 Histone deacetylase 1 
 17 	 CHEMBL2741	 Arachidonate 12-lipoxygenase 
 18 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 19 	 CHEMBL2039	 Monoamine oxidase B 
 20 	 CHEMBL1900	 Aldose reductase 
