 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL206	 Estrogen receptor alpha 
 2 	 CHEMBL242	 Estrogen receptor beta 
 3 	 CHEMBL205	 Carbonic anhydrase II 
 4 	 CHEMBL3242	 Carbonic anhydrase XII 
 5 	 CHEMBL261	 Carbonic anhydrase I 
 6 	 CHEMBL3594	 Carbonic anhydrase IX 
 7 	 CHEMBL3181	 Estradiol 17-beta-dehydrogenase 1 
 8 	 CHEMBL2789	 Estradiol 17-beta-dehydrogenase 2 
 9 	 CHEMBL1978	 Cytochrome P450 19A1 
 10 	 CHEMBL2326	 Carbonic anhydrase VII 
 11 	 CHEMBL2487	 Beta amyloid A4 protein 
 12 	 CHEMBL3510	 Carbonic anhydrase XIV 
 13 	 CHEMBL4822	 Beta-secretase 1 
 14 	 CHEMBL3717	 Hepatocyte growth factor receptor 
 15 	 CHEMBL217	 Dopamine D2 receptor 
 16 	 CHEMBL2039	 Monoamine oxidase B 
 17 	 CHEMBL333	 Matrix metalloproteinase-2 
 18 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 19 	 CHEMBL2622	 Aldose reductase 
 20 	 CHEMBL321	 Matrix metalloproteinase 9 
