 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3025	 Carbonic anhydrase VI 
 2 	 CHEMBL3729	 Carbonic anhydrase IV 
 3 	 CHEMBL3880	 Heat shock protein HSP 90-alpha 
 4 	 CHEMBL5282	 Cytochrome P450 2A6 
 5 	 CHEMBL3048	 Nitric-oxide synthase, brain 
 6 	 CHEMBL3568	 Nitric-oxide synthase, brain 
 7 	 CHEMBL4617	 Phenylethanolamine N-methyltransferase 
 8 	 CHEMBL2131	 Indolethylamine N-methyltransferase 
 9 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 10 	 CHEMBL287	 Sigma opioid receptor 
 11 	 CHEMBL2326	 Carbonic anhydrase VII 
 12 	 CHEMBL261	 Carbonic anhydrase I 
 13 	 CHEMBL2885	 Carbonic anhydrase III 
 14 	 CHEMBL3242	 Carbonic anhydrase XII 
 15 	 CHEMBL3510	 Carbonic anhydrase XIV 
 16 	 CHEMBL3594	 Carbonic anhydrase IX 
 17 	 CHEMBL3912	 Carbonic anhydrase XIII 
 18 	 CHEMBL3969	 Carbonic anhydrase VB 
 19 	 CHEMBL4789	 Carbonic anhydrase VA 
 20 	 CHEMBL2049	 Oxytocin receptor 
