 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL218	 Cannabinoid CB1 receptor 
 2 	 CHEMBL248	 Leukocyte elastase 
 3 	 CHEMBL250	 Platelet activating factor receptor 
 4 	 CHEMBL4282	 Serine/threonine-protein kinase AKT 
 5 	 CHEMBL299	 Protein kinase C alpha 
 6 	 CHEMBL3582	 Protein kinase C epsilon 
 7 	 CHEMBL3250	 Lysophosphatidic acid receptor Edg-7 
 8 	 CHEMBL3474	 Phospholipase A2 group IIA 
 9 	 CHEMBL4323	 Phospholipase A2 group V 
 10 	 CHEMBL4342	 Group X secretory phospholipase A2 
 11 	 CHEMBL5545	 Sn1-specific diacylglycerol lipase alpha 
 12 	 CHEMBL1828	 DNA polymerase alpha subunit 
 13 	 CHEMBL2392	 DNA polymerase beta 
 14 	 CHEMBL3229	 Anandamide amidohydrolase 
 15 	 CHEMBL2189127	 Monoacylglycerol lipase ABHD6 
 16 	 CHEMBL3401	 Pregnane X receptor 
 17 	 CHEMBL3514	 LDL-associated phospholipase A2 
 18 	 CHEMBL4158	 Fatty acid synthase 
 19 	 CHEMBL253	 Cannabinoid CB2 receptor 
 20 	 CHEMBL4794	 Vanilloid receptor 
