 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL206	 Estrogen receptor alpha 
 2 	 CHEMBL4822	 Beta-secretase 1 
 3 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 4 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 5 	 CHEMBL1951	 Monoamine oxidase A 
 6 	 CHEMBL242	 Estrogen receptor beta 
 7 	 CHEMBL2231	 Cytochrome P450 1A1 
 8 	 CHEMBL4878	 Cytochrome P450 1B1 
 9 	 CHEMBL3837	 Cathepsin L 
 10 	 CHEMBL2039	 Monoamine oxidase B 
 11 	 CHEMBL1741213	 Sentrin-specific protease 7 
 12 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 13 	 CHEMBL221	 Cyclooxygenase-1 
 14 	 CHEMBL1978	 Cytochrome P450 19A1 
 15 	 CHEMBL2622	 Aldose reductase 
 16 	 CHEMBL3242	 Carbonic anhydrase XII 
 17 	 CHEMBL5393	 ATP-binding cassette sub-family G member 2 
 18 	 CHEMBL3067	 Metabotropic glutamate receptor 3 
 19 	 CHEMBL2851	 Metabotropic glutamate receptor 2 
 20 	 CHEMBL1900	 Aldose reductase 
