 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL4203	 Dual specificity protein kinase CLK4 
 2 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 3 	 CHEMBL220	 Acetylcholinesterase 
 4 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 5 	 CHEMBL3048	 Nitric-oxide synthase, brain 
 6 	 CHEMBL4803	 Nitric-oxide synthase, endothelial 
 7 	 CHEMBL3105	 Poly [ADP-ribose] polymerase-1 
 8 	 CHEMBL2429708	 Poly [ADP-ribose] polymerase 10 
 9 	 CHEMBL4685	 Indoleamine 2,3-dioxygenase 
 10 	 CHEMBL5282	 Cytochrome P450 2A6 
 11 	 CHEMBL1951	 Monoamine oxidase A 
 12 	 CHEMBL2039	 Monoamine oxidase B 
 13 	 CHEMBL4481	 Nitric oxide synthase, inducible 
 14 	 CHEMBL2147	 Serine/threonine-protein kinase PIM1 
 15 	 CHEMBL2345	 Ribosomal protein S6 kinase alpha 3 
 16 	 CHEMBL261	 Carbonic anhydrase I 
 17 	 CHEMBL3242	 Carbonic anhydrase XII 
 18 	 CHEMBL3594	 Carbonic anhydrase IX 
 19 	 CHEMBL1075104	 Leucine-rich repeat serine/threonine-protein kinase 2 
 20 	 CHEMBL1868	 Vascular endothelial growth factor receptor 1 
