 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1978	 Cytochrome P450 19A1 
 2 	 CHEMBL4878	 Cytochrome P450 1B1 
 3 	 CHEMBL2326	 Carbonic anhydrase VII 
 4 	 CHEMBL2039	 Monoamine oxidase B 
 5 	 CHEMBL3199	 Acetylcholinesterase 
 6 	 CHEMBL2231	 Cytochrome P450 1A1 
 7 	 CHEMBL3729	 Carbonic anhydrase IV 
 8 	 CHEMBL206	 Estrogen receptor alpha 
 9 	 CHEMBL5393	 ATP-binding cassette sub-family G member 2 
 10 	 CHEMBL242	 Estrogen receptor beta 
 11 	 CHEMBL3242	 Carbonic anhydrase XII 
 12 	 CHEMBL3356	 Cytochrome P450 1A2 
 13 	 CHEMBL261	 Carbonic anhydrase I 
 14 	 CHEMBL205	 Carbonic anhydrase II 
 15 	 CHEMBL3594	 Carbonic anhydrase IX 
 16 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 17 	 CHEMBL1951	 Monoamine oxidase A 
 18 	 CHEMBL256	 Adenosine A3 receptor 
 19 	 CHEMBL3510	 Carbonic anhydrase XIV 
 20 	 CHEMBL318	 Adenosine A1 receptor 
