 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL2326	 Carbonic anhydrase VII 
 3 	 CHEMBL261	 Carbonic anhydrase I 
 4 	 CHEMBL2885	 Carbonic anhydrase III 
 5 	 CHEMBL3025	 Carbonic anhydrase VI 
 6 	 CHEMBL3242	 Carbonic anhydrase XII 
 7 	 CHEMBL3510	 Carbonic anhydrase XIV 
 8 	 CHEMBL3594	 Carbonic anhydrase IX 
 9 	 CHEMBL3729	 Carbonic anhydrase IV 
 10 	 CHEMBL3969	 Carbonic anhydrase VB 
 11 	 CHEMBL4789	 Carbonic anhydrase VA 
 12 	 CHEMBL208	 Progesterone receptor 
 13 	 CHEMBL5485	 D-amino-acid oxidase 
 14 	 CHEMBL219	 Dopamine D4 receptor 
 15 	 CHEMBL3912	 Carbonic anhydrase XIII 
 16 	 CHEMBL1929	 Xanthine dehydrogenase 
 17 	 CHEMBL2039	 Monoamine oxidase B 
 18 	 CHEMBL2993	 Monoamine oxidase B 
 19 	 CHEMBL3358	 Monoamine oxidase A 
 20 	 CHEMBL220	 Acetylcholinesterase 
