 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1827	 Phosphodiesterase 5A 
 2 	 CHEMBL220	 Acetylcholinesterase 
 3 	 CHEMBL2622	 Aldose reductase 
 4 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 5 	 CHEMBL3242	 Carbonic anhydrase XII 
 6 	 CHEMBL1978	 Cytochrome P450 19A1 
 7 	 CHEMBL4302	 P-glycoprotein 1 
 8 	 CHEMBL2345	 Ribosomal protein S6 kinase alpha 3 
 9 	 CHEMBL230	 Cyclooxygenase-2 
 10 	 CHEMBL5393	 ATP-binding cassette sub-family G member 2 
 11 	 CHEMBL1900	 Aldose reductase 
 12 	 CHEMBL2326	 Carbonic anhydrase VII 
 13 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 14 	 CHEMBL318	 Adenosine A1 receptor 
 15 	 CHEMBL205	 Carbonic anhydrase II 
 16 	 CHEMBL4822	 Beta-secretase 1 
 17 	 CHEMBL206	 Estrogen receptor alpha 
 18 	 CHEMBL333	 Matrix metalloproteinase-2 
 19 	 CHEMBL3729	 Carbonic anhydrase IV 
 20 	 CHEMBL256	 Adenosine A3 receptor 
