 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL273	 Serotonin 1a (5-HT1a) receptor 
 2 	 CHEMBL242	 Estrogen receptor beta 
 3 	 CHEMBL206	 Estrogen receptor alpha 
 4 	 CHEMBL339	 Dopamine D2 receptor 
 5 	 CHEMBL217	 Dopamine D2 receptor 
 6 	 CHEMBL234	 Dopamine D3 receptor 
 7 	 CHEMBL1978	 Cytochrome P450 19A1 
 8 	 CHEMBL219	 Dopamine D4 receptor 
 9 	 CHEMBL2056	 Dopamine D1 receptor 
 10 	 CHEMBL214	 Serotonin 1a (5-HT1a) receptor 
 11 	 CHEMBL221	 Cyclooxygenase-1 
 12 	 CHEMBL2724	 Estrogen receptor alpha 
 13 	 CHEMBL2039	 Monoamine oxidase B 
 14 	 CHEMBL228	 Serotonin transporter 
 15 	 CHEMBL3242	 Carbonic anhydrase XII 
 16 	 CHEMBL1951	 Monoamine oxidase A 
 17 	 CHEMBL205	 Carbonic anhydrase II 
 18 	 CHEMBL3729	 Carbonic anhydrase IV 
 19 	 CHEMBL2903	 Arachidonate 15-lipoxygenase 
 20 	 CHEMBL265	 Dopamine D1 receptor 
