 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2083	 Fatty acid binding protein adipocyte 
 2 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
 3 	 CHEMBL3344	 Fatty acid binding protein muscle 
 4 	 CHEMBL3674	 Fatty acid binding protein epidermal 
 5 	 CHEMBL3979	 Peroxisome proliferator-activated receptor delta 
 6 	 CHEMBL4163	 Toll-like receptor 2 
 7 	 CHEMBL3250	 Lysophosphatidic acid receptor Edg-7 
 8 	 CHEMBL3724	 Lysophosphatidic acid receptor Edg-4 
 9 	 CHEMBL402	 HMG-CoA reductase 
 10 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 11 	 CHEMBL5511	 Dual specificity protein phosphatase 6 
 12 	 CHEMBL3819	 Lysophosphatidic acid receptor Edg-2 
 13 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 14 	 CHEMBL4282	 Serine/threonine-protein kinase AKT 
 15 	 CHEMBL2243	 Anandamide amidohydrolase 
 16 	 CHEMBL2265	 Acyl coenzyme A:cholesterol acyltransferase 
 17 	 CHEMBL3229	 Anandamide amidohydrolase 
 18 	 CHEMBL2409	 Epoxide hydratase 
 19 	 CHEMBL2745	 ATP-citrate synthase 
 20 	 CHEMBL2366498	 Liver carboxylesterase B-1 
