"Query","HGNC_ID","Source"
"LRP6","LRP6","biomart"
"PADI2","PADI2","biomart"
"CDY1","CDY1","biomart"
"PADI1","PADI1","biomart"
"PADI3","PADI3","biomart"
"PADI4","PADI4","biomart"
"PADI6","PADI6","biomart"
"CBR1","CBR1","biomart"
"LDHA","LDHA","biomart"
"APEX1","APEX1","biomart"
"GRIK1","GRIK1","biomart"
"RXFP2","RXFP2","biomart"
"GPR18","GPR18","biomart"
"EPHA1","EPHA1","biomart"
"HRH4","HRH4","biomart"
"MC4R","MC4R","biomart"
"GALR1","GALR1","biomart"
"PSMA8","PSMA8","biomart"
"RNH1","RNH1","biomart"
"DRD4","DRD4","biomart"
"MEP1B","MEP1B","biomart"
"MC5R","MC5R","biomart"
"ROCK1","ROCK1","biomart"
"KCNB1","KCNB1","biomart"
"MC3R","MC3R","biomart"
"TOP1","TOP1","biomart"
"HCK","HCK","biomart"
"TRPM2","TRPM2","biomart"
"GRPR","GRPR","biomart"
"KLF5","KLF5","biomart"
"HMOX1","HMOX1","biomart"
"CDKL5","CDKL5","biomart"
"FLT3","FLT3","biomart"
"BRS3","BRS3","biomart"
"CXCR3","CXCR3","biomart"
"EBPL","EBPL","biomart"
"CTRB1","CTRB1","biomart"
"HCN4","HCN4","biomart"
"RORA","RORA","biomart"
"MMP16","MMP16","biomart"
"IGF1R","IGF1R","biomart"
"CDK8","CDK8","biomart"
"P2RY4","P2RY4","biomart"
"TLR8","TLR8","biomart"
"MMEL1","MMEL1","biomart"
"KCNK9","KCNK9","biomart"
"RXRA","RXRA","biomart"
"BMP1","BMP1","biomart"
"PTGES","PTGES","biomart"
"CDK9","CDK9","biomart"
"NR0B1","NR0B1","biomart"
"PCSK6","PCSK6","biomart"
"CLK2","CLK2","biomart"
"PTPRC","PTPRC","biomart"
"S1PR4","S1PR4","biomart"
"PARP4","PARP4","biomart"
"AKT3","AKT3","biomart"
"KCNQ2","KCNQ2","biomart"
"GLRA3","GLRA3","biomart"
"KLK2","KLK2","biomart"
"CMA1","CMA1","biomart"
"MMP11","MMP11","biomart"
"ESR2","ESR2","biomart"
"IL2","IL2","biomart"
"MIF","MIF","biomart"
"LPAR6","LPAR6","biomart"
"ACER2","ACER2","biomart"
"S1PR2","S1PR2","biomart"
"FPR2","FPR2","biomart"
"CCKAR","CCKAR","biomart"
"MAK","MAK","biomart"
"ADH7","ADH7","biomart"
"CILK1","CILK1","biomart"
"ADRB3","ADRB3","biomart"
"POLI","POLI","biomart"
"NR2E3","NR2E3","biomart"
"ADRB2","ADRB2","biomart"
"TLR4","TLR4","biomart"
"KCNA5","KCNA5","biomart"
"FCER2","FCER2","biomart"
"ADRB1","ADRB1","biomart"
"CELA1","CELA1","biomart"
"EP300","EP300","biomart"
"QPCTL","QPCTL","biomart"
"IL2RA","IL2RA","biomart"
"TPH2","TPH2","biomart"
"HNF4A","HNF4A","biomart"
"MMP8","MMP8","biomart"
"MMP9","MMP9","biomart"
"GRIK2","GRIK2","biomart"
"GANC","GANC","biomart"
"KCNA7","KCNA7","biomart"
"NMBR","NMBR","biomart"
"TAAR1","TAAR1","biomart"
"FGF2","FGF2","biomart"
"GRIA2","GRIA2","biomart"
"CDC45","CDC45","biomart"
"PTPRG","PTPRG","biomart"
"PRTN3","PRTN3","biomart"
"PTGIS","PTGIS","biomart"
"GRM6","GRM6","biomart"
"S1PR5","S1PR5","biomart"
"KLK3","KLK3","biomart"
"HCAR2","HCAR2","biomart"
"HCAR3","HCAR3","biomart"
"TAAR5","TAAR5","biomart"
"MMP10","MMP10","biomart"
"MMP1","MMP1","biomart"
"GRIA1","GRIA1","biomart"
"GHSR","GHSR","biomart"
"KLK4","KLK4","biomart"
"KCNN2","KCNN2","biomart"
"ADA","ADA","biomart"
"CASP4","CASP4","biomart"
"CBS","CBS","biomart"
"PDE4D","PDE4D","biomart"
"MMP3","MMP3","biomart"
"MMP12","MMP12","biomart"
"TNKS2","TNKS2","biomart"
"SMAD3","SMAD3","biomart"
"PSMD8","PSMD8","biomart"
"NUAK1","NUAK1","biomart"
"FSHR","FSHR","biomart"
"PLCG1","PLCG1","biomart"
"MMP26","MMP26","biomart"
"OTC","OTC","biomart"
"TRHDE","TRHDE","biomart"
"HEXB","HEXB","biomart"
"PPARA","PPARA","biomart"
"ALK","ALK","biomart"
"IL1B","IL1B","biomart"
"NPC1","NPC1","biomart"
"NOS1","NOS1","biomart"
"PIN4","PIN4","biomart"
"ACACB","ACACB","biomart"
"CARM1","CARM1","biomart"
"TLR9","TLR9","biomart"
"TNNC1","TNNC1","biomart"
"TAB1","TAB1","biomart"
"KIFC1","KIFC1","biomart"
"GRM1","GRM1","biomart"
"CD69","CD69","biomart"
"VEGFA","VEGFA","biomart"
"DYRK4","DYRK4","biomart"
"KCNA6","KCNA6","biomart"
"KCNA1","KCNA1","biomart"
"CBX7","CBX7","biomart"
"TRPM5","TRPM5","biomart"
"LPAR4","LPAR4","biomart"
"RXRB","RXRB","biomart"
"FUT4","FUT4","biomart"
"KDM4D","KDM4D","biomart"
"KDM4E","KDM4E","biomart"
"S100B","S100B","biomart"
"ERCC5","ERCC5","biomart"
"NMUR1","NMUR1","biomart"
"KDM5A","KDM5A","biomart"
"TPP2","TPP2","biomart"
"GRIK3","GRIK3","biomart"
"CPT1B","CPT1B","biomart"
"EPHA6","EPHA6","biomart"
"CDK15","CDK15","biomart"
"PDK3","PDK3","biomart"
"CHIA","CHIA","biomart"
"PHF8","PHF8","biomart"
"DRD3","DRD3","biomart"
"PCSK5","PCSK5","biomart"
"ABCC8","ABCC8","biomart"
"SCN2A","SCN2A","biomart"
"KDM5C","KDM5C","biomart"
"CASP6","CASP6","biomart"
"EDNRB","EDNRB","biomart"
"FUT7","FUT7","biomart"
"EPHA8","EPHA8","biomart"
"KLKB1","KLKB1","biomart"
"KCNK3","KCNK3","biomart"
"TLR1","TLR1","biomart"
"PYGB","PYGB","biomart"
"BCL6","BCL6","biomart"
"MCL1","MCL1","biomart"
"CD38","CD38","biomart"
"GGH","GGH","biomart"
"CXCR1","CXCR1","biomart"
"EPHB2","EPHB2","biomart"
"ADH1B","ADH1B","biomart"
"FNTA","FNTA","biomart"
"P2RY1","P2RY1","biomart"
"OXER1","OXER1","biomart"
"ADRM1","ADRM1","biomart"
"VHL","VHL","biomart"
"CCR4","CCR4","biomart"
"KLF10","KLF10","biomart"
"KLK5","KLK5","biomart"
"ECE1","ECE1","biomart"
"EPHA5","EPHA5","biomart"
"CBX6","CBX6","biomart"
"HMGB1","HMGB1","biomart"
"MMP14","MMP14","biomart"
"PLEC","PLEC","biomart"
"ERAP1","ERAP1","biomart"
"ADH1A","ADH1A","biomart"
"HPSE","HPSE","biomart"
"EHMT1","EHMT1","biomart"
"KDM2B","KDM2B","biomart"
"EGLN3","EGLN3","biomart"
"CTRC","CTRC","biomart"
"KLK1","KLK1","biomart"
"DYRK3","DYRK3","biomart"
"EPHB6","EPHB6","biomart"
"AMPD1","AMPD1","biomart"
"INMT","INMT","biomart"
"FURIN","FURIN","biomart"
"MGA","MGA","biomart"
"MAX","MAX","biomart"
"NPY4R","NPY4R","biomart"
"AOC3","AOC3","biomart"
"NR0B2","NR0B2","biomart"
"PPIB","PPIB","biomart"
"AOC2","AOC2","biomart"
"SENP8","SENP8","biomart"
"CNR2","CNR2","biomart"
"CBX8","CBX8","biomart"
"KLK7","KLK7","biomart"
"ABL1","ABL1","biomart"
"NSD2","NSD2","biomart"
"PDE6A","PDE6A","biomart"
"BHMT2","BHMT2","biomart"
"INSR","INSR","biomart"
"ADAM8","ADAM8","biomart"
"HIF1A","HIF1A","biomart"
"CNOT7","CNOT7","biomart"
"PYGL","PYGL","biomart"
"GSTO1","GSTO1","biomart"
"PDE5A","PDE5A","biomart"
"MMP2","MMP2","biomart"
"CCR8","CCR8","biomart"
"ADCY5","ADCY5","biomart"
"PTPRO","PTPRO","biomart"
"MMP13","MMP13","biomart"
"TPH1","TPH1","biomart"
"CRYAB","CRYAB","biomart"
"PIR","PIR","biomart"
"GSTA1","GSTA1","biomart"
"KAT8","KAT8","biomart"
"GSTA2","GSTA2","biomart"
"SCN4A","SCN4A","biomart"
"ERN1","ERN1","biomart"
"SHH","SHH","biomart"
"KLK8","KLK8","biomart"
"NMUR2","NMUR2","biomart"
"CASR","CASR","biomart"
"OGA","OGA","biomart"
"CD4","CD4","biomart"
"PDE4B","PDE4B","biomart"
"MPEG1","MPEG1","biomart"
"RGS8","RGS8","biomart"
"DNMT1","DNMT1","biomart"
