"","x"
"1","1433G"
"2","3MG"
"3","5HT1A"
"4","5HT1B"
"5","5HT1D"
"6","5HT1E"
"7","5HT1F"
"8","5HT2A"
"9","5HT2B"
"10","5HT2C"
"11","5HT3B"
"12","5HT3C"
"13","5HT3E"
"14","5HT4R"
"15","5HT5A"
"16","5HT6R"
"17","5HT7R"
"18","5NTD"
"19","6PGD"
"20","A4"
"21","AA1R"
"22","AA2AR"
"23","AA2BR"
"24","AA3R"
"25","AAAT"
"26","AAKB1"
"27","AAKB2"
"28","AAKG1"
"29","AAPK1"
"30","AAPK2"
"31","ABC3A"
"32","ABC3G"
"33","ABCBB"
"34","ABCC8"
"35","ABCC9"
"36","ABCG2"
"37","ABL1"
"38","ACACB"
"39","ACE"
"40","ACE2"
"41","ACER2"
"42","ACES"
"43","ACH10"
"44","ACHA"
"45","ACHA3"
"46","ACHA4"
"47","ACHA5"
"48","ACHA7"
"49","ACHA9"
"50","ACHB"
"51","ACHB2"
"52","ACHB4"
"53","ACHD"
"54","ACHG"
"55","ACKR3"
"56","ACLY"
"57","ACM1"
"58","ACM2"
"59","ACM3"
"60","ACM4"
"61","ACM5"
"62","ACMSD"
"63","ACPM"
"64","ACVL1"
"65","ADA"
"66","ADA12"
"67","ADA17"
"68","ADA2B"
"69","ADA2C"
"70","ADAM8"
"71","ADCY5"
"72","ADCYA"
"73","ADH1A"
"74","ADH1B"
"75","ADH1G"
"76","ADH7"
"77","ADHX"
"78","ADK"
"79","ADRB1"
"80","ADRB2"
"81","ADRB3"
"82","ADRM1"
"83","AGAL"
"84","AHR"
"85","AK1A1"
"86","AK1BA"
"87","AK1C1"
"88","AK1C2"
"89","AK1C3"
"90","AK1C4"
"91","AKT1"
"92","AKT2"
"93","AKT3"
"94","AKTS1"
"95","AL1A1"
"96","AL1A2"
"97","AL1A3"
"98","AL1B1"
"99","AL3A1"
"100","ALBU"
"101","ALDH2"
"102","ALDR"
"103","ALK"
"104","ALR"
"105","AMD"
"106","AMPB"
"107","AMPD1"
"108","AMPD2"
"109","AMPE"
"110","AMPL"
"111","AMPN"
"112","AMY1A"
"113","AMYP"
"114","ANDR"
"115","ANF"
"116","ANM1"
"117","ANPRA"
"118","ANPRC"
"119","ANT3"
"120","ANTR2"
"121","AOC1"
"122","AOC2"
"123","AOC3"
"124","AOFA"
"125","AOFB"
"126","APEX1"
"127","APH1A"
"128","APH1B"
"129","ARGI1"
"130","ARGI2"
"131","ASAH1"
"132","ASIC3"
"133","AT12A"
"134","ATG4B"
"135","ATS4"
"136","ATS5"
"137","AURKB"
"138","AURKC"
"139","AVR2A"
"140","AVR2B"
"141","B2CL2"
"142","B2LA1"
"143","B4GT1"
"144","BACE1"
"145","BAD"
"146","BAZ2A"
"147","BAZ2B"
"148","BCL6"
"149","BGAL"
"150","BGLR"
"151","BHMT1"
"152","BHMT2"
"153","BIP"
"154","BIRC3"
"155","BMP1"
"156","BMP4"
"157","BODG"
"158","BPL1"
"159","BRAF"
"160","BRCA1"
"161","BRS3"
"162","C11B1"
"163","C11B2"
"164","C3AR"
"165","CAC1A"
"166","CAC1B"
"167","CAC1D"
"168","CAC1G"
"169","CAC1H"
"170","CAC1I"
"171","CAC1S"
"172","CACB1"
"173","CAH1"
