"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Tyrosine-protein kinase SRC","SRC","P12931","CHEMBL267","Kinase","0.0978745343258","11 /  8     "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.0978745343258","16 /  8     "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.0978745343258","0 /  81     "
"Arachidonate 15-lipoxygenase","ALOX15","P16050","CHEMBL2903","Enzyme","0.0978745343258","0 /  21     "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","0.0978745343258","0 /  2     "
"Leukotriene B4 receptor 1","LTB4R","Q15722","CHEMBL3911","Family A G protein-coupled receptor","0.0978745343258","0 /  1     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.0978745343258","43 /  13     "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.0978745343258","2 /  13     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.0978745343258","5 /  20     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.0978745343258","4 /  4     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","0.0978745343258","34 /  6     "
"Carbonic anhydrase III","CA3","P07451","CHEMBL2885","Lyase","0.0978745343258","1 /  3     "
"Carbonic anhydrase VI","CA6","P23280","CHEMBL3025","Lyase","0.0978745343258","2 /  4     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.0978745343258","14 /  4     "
"Carbonic anhydrase IX","CA9","Q16790","CHEMBL3594","Lyase","0.0978745343258","15 /  4     "
"Carbonic anhydrase IV","CA4","P22748","CHEMBL3729","Lyase","0.0978745343258","8 /  7     "
"Carbonic anhydrase VB","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.0978745343258","2 /  2     "
"Carbonic anhydrase VA","CA5A","P35218","CHEMBL4789","Lyase","0.0978745343258","3 /  2     "
"Adenosine A1 receptor   (by homology)","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0978745343258","67 /  0     "
"DNA polymerase beta   (by homology)","POLB","P06746","CHEMBL2392","Enzyme","0.0978745343258","0 /  3     "
"Liver glycogen phosphorylase","PYGL","P06737","CHEMBL2568","Enzyme","0.0978745343258","11 /  0     "
"Stem cell growth factor receptor","KIT","P10721","CHEMBL1936","Kinase","0.0978745343258","6 /  3     "
"Fibroblast growth factor receptor 1","FGFR1","P11362","CHEMBL3650","Kinase","0.0978745343258","6 /  3     "
"Hepatocyte growth factor receptor","MET","P08581","CHEMBL3717","Kinase","0.0978745343258","6 /  4     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0978745343258","59 /  0     "
"Matrix metalloproteinase 7","MMP7","P09237","CHEMBL4073","Protease","0.0978745343258","13 /  0     "
"Matrix metalloproteinase 8","MMP8","P22894","CHEMBL4588","Protease","0.0978745343258","29 /  0     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.0978745343258","0 /  25     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.0978745343258","16 /  81     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.0978745343258","19 /  78     "
