"Query","HGNC_ID","Source"
"AADAT","AADAT","biomart"
"AAK1","AAK1","biomart"
"ABAT","ABAT","biomart"
"ABCB1","ABCB1","biomart"
"ABCB11","ABCB11","biomart"
"ABCC1","ABCC1","biomart"
"ABCC9","ABCC9","biomart"
"ABCG2","ABCG2","biomart"
"ABHD6","ABHD6","biomart"
"ABL1","ABL1","biomart"
"ACACB","ACACB","biomart"
"ACE","ACE","biomart"
"ACE2","ACE2","biomart"
"ACHE","ACHE","biomart"
"ACLY","ACLY","biomart"
"ACP1","ACP1","biomart"
"ACVRL1","ACVRL1","biomart"
"ADA","ADA","biomart"
"ADAM10","ADAM10","biomart"
"ADAM12","ADAM12","biomart"
"ADAM17","ADAM17","biomart"
"ADAM9","ADAM9","biomart"
"ADAMTS5","ADAMTS5","biomart"
"ADCY1","ADCY1","biomart"
"ADCY10","ADCY10","biomart"
"ADCY5","ADCY5","biomart"
"ADH1A","ADH1A","biomart"
"ADH1B","ADH1B","biomart"
"ADH1C","ADH1C","biomart"
"ADK","ADK","biomart"
"ADORA1","ADORA1","biomart"
"ADORA2A","ADORA2A","biomart"
"ADORA2B","ADORA2B","biomart"
"ADORA3","ADORA3","biomart"
"ADRA1A","ADRA1A","biomart"
"ADRA1B","ADRA1B","biomart"
"ADRA1D","ADRA1D","biomart"
"ADRA2A","ADRA2A","biomart"
"ADRA2B","ADRA2B","biomart"
"ADRA2C","ADRA2C","biomart"
"ADRB1","ADRB1","biomart"
"ADRB2","ADRB2","biomart"
"ADRB3","ADRB3","biomart"
"AGTR1","AGTR1","biomart"
"AGTR2","AGTR2","biomart"
"AHCY","AHCY","biomart"
"AHR","AHR","biomart"
"AKR1A1","AKR1A1","biomart"
"AKR1B1","AKR1B1","biomart"
"AKR1B10","AKR1B10","biomart"
"AKR1C1","AKR1C1","biomart"
"AKR1C2","AKR1C2","biomart"
"AKR1C3","AKR1C3","biomart"
"AKR1C4","AKR1C4","biomart"
"AKT1","AKT1","biomart"
"AKT2","AKT2","biomart"
"ALB","ALB","biomart"
"ALDH2","ALDH2","biomart"
"ALK","ALK","biomart"
"ALOX12","ALOX12","biomart"
"ALOX15","ALOX15","biomart"
"ALOX15B","ALOX15B","biomart"
"ALOX5","ALOX5","biomart"
"ALOX5AP","ALOX5AP","biomart"
"ALPG","ALPG","biomart"
"ALPL","ALPL","biomart"
"AMPD2","AMPD2","biomart"
"AMPD3","AMPD3","biomart"
"AMY1A","AMY1A","biomart"
"AMY2A","AMY2A","biomart"
"ANPEP","ANPEP","biomart"
"AOC3","AOC3","biomart"
"APEX1","APEX1","biomart"
"APP","APP","biomart"
"AR","AR","biomart"
"ARG1","ARG1","biomart"
"ASF1A","ASF1A","biomart"
"ATIC","ATIC","biomart"
"ATP12A","ATP12A","biomart"
"ATP1A1","ATP1A1","biomart"
"AURKA","AURKA","biomart"
"AURKB","AURKB","biomart"
"AVPR1A","AVPR1A","biomart"
"AVPR1B","AVPR1B","biomart"
"AVPR2","AVPR2","biomart"
"AXL","AXL","biomart"
"BACE1","BACE1","biomart"
"BACE2","BACE2","biomart"
"BAD","BAD","biomart"
"BBOX1","BBOX1","biomart"
"BCAT2","BCAT2","biomart"
"BCHE","BCHE","biomart"
"BCL2","BCL2","biomart"
"BCL2A1","BCL2A1","biomart"
"BCL2L1","BCL2L1","biomart"
"BDKRB1","BDKRB1","biomart"
"BHMT","BHMT","biomart"
"BHMT2","BHMT2","biomart"
"BIRC2","BIRC2","biomart"
"BIRC3","BIRC3","biomart"
"BLK","BLK","biomart"
"BMP1","BMP1","biomart"
"BMX","BMX","biomart"
"BRAF","BRAF","biomart"
"BRD2","BRD2","biomart"
"BRD3","BRD3","biomart"
"BRD4","BRD4","biomart"
"BRD9","BRD9","biomart"
"BRDT","BRDT","biomart"
"BRS3","BRS3","biomart"
"BTK","BTK","biomart"
"BUB1","BUB1","biomart"
"C3AR1","C3AR1","biomart"
"C5AR1","C5AR1","biomart"
"CA1","CA1","biomart"
"CA12","CA12","biomart"
"CA13","CA13","biomart"
"CA14","CA14","biomart"
"CA2","CA2","biomart"
"CA3","CA3","biomart"
"CA4","CA4","biomart"
"CA5A","CA5A","biomart"
"CA5B","CA5B","biomart"
"CA6","CA6","biomart"
"CA7","CA7","biomart"
"CA9","CA9","biomart"
"CACNA2D1","CACNA2D1","biomart"
"CALCA","CALCA","biomart"
"CALM1","CALM1","biomart"
"CAMK2B","CAMK2B","biomart"
