"","x"
"1","AADAT"
"2","AAK1"
"3","ABAT"
"4","ABCB1"
"5","ABCB11"
"6","ABCC1"
"7","ABCC9"
"8","ABCG2"
"9","ABHD6"
"10","ABL1"
"11","ACACB"
"12","ACE"
"13","ACE2"
"14","ACHE"
"15","ACLY"
"16","ACP1"
"17","ACPP"
"18","ACVRL1"
"19","ADA"
"20","ADAM10"
"21","ADAM12"
"22","ADAM17"
"23","ADAM9"
"24","ADAMTS5"
"25","ADCY1"
"26","ADCY10"
"27","ADCY5"
"28","ADH1A"
"29","ADH1B"
"30","ADH1C"
"31","ADK"
"32","ADORA1"
"33","ADORA2A"
"34","ADORA2B"
"35","ADORA3"
"36","ADRA1A"
"37","ADRA1B"
"38","ADRA1D"
"39","ADRA2A"
"40","ADRA2B"
"41","ADRA2C"
"42","ADRB1"
"43","ADRB2"
"44","ADRB3"
"45","AGTR1"
"46","AGTR2"
"47","AHCY"
"48","AHR"
"49","AKR1A1"
"50","AKR1B1"
"51","AKR1B10"
"52","AKR1C1"
"53","AKR1C2"
"54","AKR1C3"
"55","AKR1C4"
"56","AKT1"
"57","AKT2"
"58","ALB"
"59","ALDH2"
"60","ALK"
"61","ALOX12"
"62","ALOX15"
"63","ALOX15B"
"64","ALOX5"
"65","ALOX5AP"
"66","ALPG"
"67","ALPL"
"68","AMPD2"
"69","AMPD3"
"70","AMY1A"
"71","AMY2A"
"72","ANPEP"
"73","AOC3"
"74","APEX1"
"75","APP"
"76","AR"
"77","ARG1"
"78","ASF1A"
"79","ATIC"
"80","ATP12A"
"81","ATP1A1"
"82","AURKA"
"83","AURKB"
"84","AVPR1A"
"85","AVPR1B"
"86","AVPR2"
"87","AXL"
"88","BACE1"
"89","BACE2"
"90","BAD"
"91","BBOX1"
"92","BCAT2"
"93","BCHE"
"94","BCL2"
"95","BCL2A1"
"96","BCL2L1"
"97","BDKRB1"
"98","BHMT"
"99","BHMT2"
"100","BIRC2"
"101","BIRC3"
"102","BLK"
"103","BMP1"
"104","BMX"
"105","BRAF"
"106","BRD2"
"107","BRD3"
"108","BRD4"
"109","BRD9"
"110","BRDT"
"111","BRS3"
"112","BTK"
"113","BUB1"
"114","C3AR1"
"115","C5AR1"
"116","CA1"
"117","CA12"
"118","CA13"
"119","CA14"
"120","CA2"
"121","CA3"
"122","CA4"
"123","CA5A"
"124","CA5B"
"125","CA6"
"126","CA7"
"127","CA9"
"128","CACNA2D1"
"129","CALCA"
"130","CALM1"
"131","CAMK2B"
"132","CAMKK2"
"133","CAPN1"
"134","CAPN2"
"135","CASP1"
"136","CASP2"
"137","CASP3"
"138","CASP6"
"139","CASP7"
"140","CASP8"
"141","CASR"
"142","CBR1"
"143","CBX7"
"144","CCKAR"
"145","CCKBR"
"146","CCNA2 CDK2"
"147","CCNB3 CDK1 CCNB1 CCNB2"
"148","CCND1 CDK4"
"149","CCND3 CCND1 CDK4 CCND2"
"150","CCNE1 CDK2"
"151","CCNE1 CDK3"
"152","CCNE2 CDK2 CCNE1"
"153","CCNT1"
"154","CCR1"
"155","CCR2"
"156","CCR4"
"157","CCR5"
"158","CCR8"
"159","CD38"
"160","CD81"
"161","CDA"
"162","CDC25A"
"163","CDC25B"
"164","CDC25C"
"165","CDC45"
"166","CDC7"
"167","CDK1"
"168","CDK1 CCNB1"
"169","CDK19"
"170","CDK2"
"171","CDK2 CCNA1 CCNA2"
"172","CDK4"
"173","CDK5"
"174","CDK5R1 CDK5"
"175","CDK6"
"176","CDK7 CCNH"
"177","CDK8"
"178","CDK9"
"179","CDK9 CCNT1"
"180","CES1"
"181","CES2"
"182","CFB"
"183","CFD"
"184","CFTR"
"185","CHEK1"
"186","CHEK2"
"187","CHIA"
"188","CHRM1"
"189","CHRM2"
"190","CHRM3"
"191","CHRNA3 CHRNB4"
"192","CHRNA4"
"193","CHRNA4 CHRNB2"
"194","CHRNA7"
"195","CISD1"
"196","CIT"
"197","CLK1"
"198","CLK2"
"199","CLK3"
"200","CLK4"
"201","CMA1"
"202","CNOT7"
"203","CNR1"
"204","CNR2"
"205","COL4A3BP"
"206","COMT"
"207","COQ8B"
"208","CPA1"
"209","CPA3"
"210","CPB1"
"211","CPB2"
"212","CPN1"
"213","CPT1A"
"214","CPT1B"
"215","CPT2"
"216","CREBBP"
"217","CRHR1"
"218","CSF1R"
"219","CSK"
"220","CSNK1A1"
"221","CSNK1D"
"222","CSNK1G1"
"223","CSNK1G2"
"224","CSNK2A1"
"225","CSNK2A2"
"226","CTBP2"
"227","CTNNB1"
"228","CTRC"
"229","CTSA"
"230","CTSB"
"231","CTSD"
"232","CTSE"
"233","CTSG"
"234","CTSK"
"235","CTSL"
"236","CTSS"
"237","CTSV"
"238","CXCL8"
"239","CXCR1"
"240","CXCR2"
"241","CYP11B1"
"242","CYP11B2"
"243","CYP17A1"
"244","CYP19A1"
"245","CYP1A1"
"246","CYP1A2"
"247","CYP1B1"
"248","CYP24A1"
"249","CYP26A1"
"250","CYP26B1"
"251","CYP27A1"
"252","CYP2A6"
"253","CYP2C19"
"254","CYP2C9"
"255","CYP2D6"
"256","CYP3A4"
"257","CYP51A1"
"258","CYSLTR1"
"259","DAGLA"
"260","DAGLB"
"261","DAO"
"262","DAPK1"
"263","DAPK3"
"264","DBH"
"265","DDO"
"266","DDR1"
"267","DGAT1"
"268","DHFR"
"269","DHODH"
"270","DLG4"
"271","DNM1"
"272","DNMT1"
"273","DNMT3B"
"274","DNPEP"
"275","DPP4"
"276","DPP7"
"277","DPYD"
"278","DRD1"
"279","DRD2"
"280","DRD3"
"281","DRD4"
"282","DRD5"
"283","DSTYK"
"284","DUSP3"
"285","DUT"
"286","DYRK1A"
"287","DYRK1B"
"288","DYRK2"
"289","ECE1"
"290","EDNRA"
"291","EDNRB"
"292","EGFR"
"293","EGLN1"
"294","EGLN3"
"295","EIF2AK2"
"296","EIF2AK3"
"297","ELANE"
"298","ENPEP"
"299","ENPP2"
"300","EP300"
"301","EPAS1"
"302","EPHA1"
"303","EPHA2"
"304","EPHA3"
"305","EPHA4"
"306","EPHA5"
"307","EPHA6"
