"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.100578902067","2 /  13     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.100578902067","11 /  19     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.100578902067","38 /  84     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.100578902067","44 /  79     "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.100578902067","0 /  85     "
"Cyclooxygenase-1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.100578902067","8 /  14     "
"Tyrosine-protein kinase SRC","SRC","P12931","CHEMBL267","Kinase","0.100578902067","18 /  9     "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.100578902067","38 /  9     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.100578902067","94 /  0     "
"ADAM17","ADAM17","P78536","CHEMBL3706","Protease","0.100578902067","44 /  0     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.100578902067","24 /  38     "
"Matrix metalloproteinase 7","MMP7","P09237","CHEMBL4073","Protease","0.100578902067","20 /  0     "
"Matrix metalloproteinase 8","MMP8","P22894","CHEMBL4588","Protease","0.100578902067","49 /  0     "
"Leukotriene B4 receptor 1","LTB4R","Q15722","CHEMBL3911","Family A G protein-coupled receptor","0.100578902067","0 /  1     "
"DNA polymerase beta   (by homology)","POLB","P06746","CHEMBL2392","Enzyme","0.100578902067","0 /  3     "
"Adenosine A1 receptor","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.100578902067","90 /  0     "
"MAP kinase-activated protein kinase 2","MAPKAPK2","P49137","CHEMBL2208","Kinase","0.100578902067","7 /  0     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.100578902067","91 /  12     "
"Glutamate NMDA receptor; GRIN1/GRIN2A","GRIN2A GRIN1","Q12879 Q05586","CHEMBL1907604","Ligand-gated ion channel","0.100578902067","11 /  0     "
