"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RASGEF1B",1.14845927959129e-144,-0.809375146350847,0.671,0.777,3.87375315006142e-141
"ACTB",1.63388512755139e-143,-0.579470630153644,0.551,0.714,2.75554726761542e-140
"SLC26A3",2.98825057796154e-134,-0.774594842773314,0.619,0.738,3.35978973315476e-131
"LINGO1",1.32823854831497e-128,-0.704758225460398,0.807,0.87,1.1200371558666e-125
"CKB",3.25384512822984e-115,-0.511961743396718,0.541,0.686,2.19504392350385e-112
"GLUL",3.50538568536205e-98,-1.51842464598274,0.085,0.18,1.97061098612103e-95
"GAPDH",1.70075366779054e-96,-0.68059876984648,0.333,0.469,8.19520303065356e-94
"PTGDS",2.76315994724628e-88,-0.997322001118528,0.142,0.248,1.16501731275771e-85
"MEG3",1.22716358945696e-87,0.326541109918795,0.987,0.982,4.59913643026482e-85
"RBFOX1",8.79272050189893e-85,0.259356803998301,0.985,0.98,2.96578462529051e-82
"PHF11",1.77572799467408e-76,0.879215458315141,0.249,0.145,5.44502775094151e-74
"FRMD4A",5.88986134544938e-75,0.258328294368764,0.926,0.903,1.65554185985006e-72
"APOE",1.91768140865236e-74,-1.87740869443805,0.038,0.101,4.97564568568032e-72
"TUBB4A",2.70988057426997e-70,-1.03601390234829,0.105,0.188,6.528876555009e-68
"NRG3",1.16833753380823e-68,0.226417229661671,0.977,0.971,2.62720166769011e-66
"NRGN",2.470180792885e-68,-0.426960053237132,0.635,0.742,5.20744988400069e-66
"AC016831.7",1.79151392408393e-67,0.487286468321902,0.576,0.481,3.55457439172653e-65
"ANKS1B",5.99003688000403e-66,0.248341725740602,0.949,0.935,1.12246635534742e-63
"KCNIP4",2.56990485153397e-64,0.346175276920116,0.943,0.935,4.56225740222321e-62
"RGS7",1.05953266002381e-63,0.298000071315117,0.907,0.884,1.78690183113016e-61
"DLGAP1",1.27055199785094e-63,0.227135718728695,0.97,0.957,2.04074851845297e-61
"FGF14",3.87914843334215e-63,0.220600771115962,0.961,0.949,5.94743984802866e-61
"CST3",4.20854641792982e-61,-1.39003988119263,0.081,0.155,6.17192481203361e-59
"ERICH1-AS1",1.7353654119021e-60,0.511276260309057,0.391,0.292,2.43891147264407e-58
"CLU",4.09651131593018e-60,-0.777703754429473,0.289,0.387,5.527013067453e-58
"DLG2",3.35362781030604e-59,0.205096058329181,0.979,0.975,4.35068715544703e-57
"TENM2",4.8940945511116e-59,0.324176480592942,0.883,0.862,6.11399293366645e-57
"FAM155A",7.50808605651538e-59,0.203005004002787,0.974,0.968,9.04456223879514e-57
"NRXN3",9.55487341603314e-59,0.211400989663977,0.978,0.971,1.11133062180275e-56
"PDXDC1",1.11470723899101e-57,0.477102752573268,0.463,0.359,1.25330250570556e-55
"KIRREL3",1.56862215929718e-56,0.488099030258302,0.416,0.313,1.70676211074497e-54
"ALDOA",9.42561249949633e-56,-0.477135412376681,0.254,0.339,9.93518467525035e-54
"SLC1A2",1.04407441229301e-55,-0.849333690302474,0.196,0.278,1.06717060383767e-53
"OPCML",9.28685852051247e-55,0.210371660886006,0.95,0.937,9.21310993814369e-53
"MAP2K1",5.5296066118908e-53,0.405405224354468,0.4,0.31,5.32896088625933e-51
"FAIM2",3.13061410081767e-52,-0.566942870028979,0.304,0.391,2.93321148946056e-50
"LRRTM4",2.61156142266749e-51,0.279940826526542,0.933,0.919,2.38075585909661e-49
"PHYHIP",4.56829461204114e-51,-0.747122560806544,0.244,0.333,4.05496255958284e-49
"IQCJ-SCHIP1",1.1988795465171e-50,0.390371351218419,0.8,0.777,1.03687710523133e-48
"CSMD1",3.96361444416727e-50,0.20503028539249,0.968,0.959,3.34231788004405e-48
"SLC1A3",4.61598946029735e-50,-0.905056297746696,0.06,0.119,3.79749571941048e-48
"TUBB",7.81014193248332e-50,-0.72650751873567,0.122,0.194,6.2722877948253e-48
"TDG",2.03488996149595e-49,0.636143095676576,0.289,0.198,1.59620554421531e-47
"PHACTR1",2.9386851547191e-48,0.256771055833952,0.883,0.858,2.25276932428807e-46
"FTX",2.42662004982251e-47,0.219103172547744,0.918,0.898,1.81888653956696e-45
"CTD-2537O9.1",8.90064581175854e-47,0.410238893234358,0.724,0.679,6.52649528762208e-45
"ADGRB3",1.08255780744521e-46,0.191581274691513,0.979,0.978,7.76907975428236e-45
"RPL21",1.96730255297316e-46,0.778312763057198,0.236,0.154,1.38243989816218e-44
"NDRG2",4.29706665685194e-46,-0.967950315425407,0.085,0.145,2.95796037419624e-44
"LY86-AS1",4.54569740834347e-46,0.635478095742521,0.252,0.174,3.06652747166851e-44
"PEBP1",4.78344465194751e-46,-0.458332876517754,0.335,0.422,3.16363898255273e-44
"KANSL1",7.47547441686969e-45,0.452214049949348,0.417,0.321,4.84899523232721e-43
"KCNB2",1.03187824471688e-44,0.43864339113741,0.394,0.309,6.56702890458499e-43
"SYN3",1.6281227639834e-44,0.547962641273592,0.345,0.257,1.01697371905852e-42
"ATP1B1",2.83224329790404e-44,-0.298897477102463,0.732,0.827,1.73693757160551e-42
"RPL7",3.20315785494296e-44,0.75540521703948,0.297,0.21,1.92933061512904e-42
"CRLF3",3.80276290747263e-44,0.495992582938907,0.365,0.268,2.25030162928161e-42
"ARL17B",1.28119048244165e-43,0.593995003928155,0.22,0.15,7.45078534013052e-42
"PDZD2",2.36459855266893e-42,0.496453772608875,0.413,0.321,1.35182896917835e-40
"TUBB4B",2.58924017257612e-42,-0.68835250366842,0.096,0.152,1.45558451701654e-40
"PDE5A",3.7900275142001e-42,0.49835872001579,0.395,0.305,2.09569882055687e-40
"R3HDM1",5.42924800356072e-42,0.297257552160643,0.848,0.83,2.95368605096941e-40
"PTMA",5.63923057463093e-42,-0.53620996995913,0.266,0.343,3.01922614733811e-40
