Ancestry_analyses,TWAS,PWAS,PsyOPS,Final
RIMS3,RP5-1115A15.1,TRMT61B,RERE,RERE
ACTG1P22,ELAVL4,SLC25A12,CLCNKA,RERE-AS1
MAGI1,NRD1,NFXL1,IGSF21,ZMYM4
PCYOX1L,RPL31P12,PCMT1,DLGAP3,RP5-1180C18.1
IRF4,GAS5,PPP3CC,GRIK3,RIMS3
ESR1,RFWD2,CNNM2,GRIK3,ELAVL4
"MAD1L1,AC069288.1",PSEN2,TSFM,MTF1,NRDC
DNAJB9,OPN3,CDH13,AGBL4,NFIA
MKRN1,RP11-254F7.2,FLOT2,AGBL4,PDE4B
KIRREL3,FANCL,CBR3,RAB3B,RPL31P12
AC009779.4,TANK,,NFIA,LINC01725
FURIN,RAPGEF4,,LEPR,PKN2-AS1
VPS33B-DT,CIR1,,SGIP1,GAS5
METTL9,ZNF804A,,NEGR1,COP1
"AC087564.1,AC009166.2",RP11-314B1.2,,NEGR1,RP1-35C21.2
ZFHX3,ZNF445,,TTLL7,CACNA1E
SETBP1,GPX1,,SH3GLB1,NAV1
AC025809.1,RP11-175P19.2,,LMO4,IPO9-AS1
ZHX3,NDST3,,PKN2,PROX1-AS1
RSPH14,KIAA1109,,PTBP2,USH2A
RIMS3,SCAMP1,,GATAD2B,ESRRG
MAN1A2,CTC-467M3.3,,CHRNB2,PSEN2
OPN3,SGCD,,ATP1B1,OPN3
ACTG1P22,NPM1,,COP1,SMYD3
KIF1A,LINC00951,,BRINP2,RP11-254F7.2
"AC098650.1,RBMS3,RBMS3-AS2",LIN28B,,CACNA1E,NBAS
"LINC01088,NAA11",GOPC,,BRINP3,AC067959.1
AC021192.1,AC110781.3,,ASPM,AC068490.1
PCYOX1L,AMZ1,,PTPRC,TRMT61B
IRF4,SDK1,,NAV1,LINC01320
MDGA1,KDELR2,,PROX1,NRXN1
ESR1,TMEM106B,,PROX1,ACTG1P22
SDK1,SP4,,USH2A,FANCL
DNAJB9,AVL9,,USH2A,CNTNAP5
TTC39B,RP11-325F22.2,,ITPKB,THSD7B
"PAX5,AL161781.2",THAP5,,RGS7,LRP1B
KIRREL3,DOCK4,,ZBTB18,ARHGAP15
OBI1-AS1,CTTNBP2,,KIF26B,AC096558.1
"KLC1,AL139300.1",LRGUK,,SOX11,TEX41
FURIN,CYP7B1,,ADAM17,GALNT13
ZFHX3,RP11-536O18.2,,DDX1,TANK
