COLOC_yes,FOCUS_CRED1,TABLE3
RERE,RERE,NEGR1
RERE,RERE,CTC-467M3.3
RP5-1115A15.1,RP5-1115A15.1,TMEM106B
RP5-1115A15.1,SNORA63,LRFN5
NEGR1,NEGR1,ESR2
NEGR1,RP11-318C24.2,PROX2
RPL31P12,RFWD2,
RPL31P12,RFWD2,
RPL31P12,CACNA1E,
RP11-318C24.2,DENND1B,
RFWD2,DENND1B,
RFWD2,FANCL,
RFWD2,ANKRD44,
DENND1B,SF3B1,
DENND1B,ZNF445,
DENND1B,SLC30A9,
FANCL,SLC30A9,
FANCL,SLC30A9,
TMEM33,SLC30A9,
SLC30A9,TMEM161B-AS1,
SLC30A9,TMEM161B-AS1,
SLC30A9,TMEM161B-AS1,
TMEM161B-AS1,TMEM161B-AS1,
TMEM161B-AS1,TMEM161B-AS1,
TMEM161B-AS1,TMEM161B-AS1,
TMEM161B-AS1,TMEM161B-AS1,
TMEM161B-AS1,TMEM161B-AS1,
TMEM161B-AS1,TMEM161B-AS1,
TMEM161B-AS1,CTC-467M3.3,
TMEM161B-AS1,CTC-467M3.3,
TMEM161B-AS1,NDUFA2,
TMEM161B-AS1,PCDHA5,
TMEM161B-AS1,PCDHA8,
TMEM161B-AS1,HIST1H4D,
TMEM161B-AS1,BTN3A2,
TMEM161B-AS1,BTN3A2,
TMEM161B-AS1,BTN3A2,
TMEM161B-AS1,BTN3A2,
CTC-467M3.3,BTN3A2,
CTC-467M3.3,BTN3A2,
CTC-467M3.3,HMGN4,
PCDHA8,PRSS16,
PRSS16,PRSS16,
HIST1H4L,ZNF204P,
RP1-265C24.5,RP1-153G14.4,
ZSCAN16,ZNF184,
ZSCAN9,ZSCAN12P1,
RP5-874C20.3,ZSCAN12P1,
RP5-874C20.3,RP1-265C24.5,
PGBD1,RP1-265C24.5,
ZKSCAN3,ZSCAN16,
FLOT1,ZSCAN16,
FLOT1,ZSCAN9,
FLOT1,ZSCAN9,
FLOT1,ZSCAN9,
FLOT1,NKAPL,
FLOT1,RP5-874C20.3,
VARS2,RP5-874C20.3,
WASF5P,RP5-874C20.3,
HCP5,RP5-874C20.3,
MICB,RP5-874C20.3,
DDAH2,RP5-874C20.3,
LIN28B,RP5-874C20.3,
LIN28B,RP5-874C20.3,
TMEM106B,PGBD1,
TMEM106B,ZKSCAN3,
TMEM106B,ZKSCAN3,
TMEM106B,ZKSCAN3,
CLP1,ZSCAN23,
TMEM258,ZSCAN23,
CTD-2298J14.2,ZSCAN23,
LRFN5,ZSCAN23,
LRFN5,PPP1R18,
JKAMP,FLOT1,
CCDC175,VARS2,
RTN1,VARS2,
RTN1,WASF5P,
SYNE2,WASF5P,
ESR2,HCP5,
ESR2,HCP5,
PROX2,MICB,
DLST,BAG6,
DLST,DDAH2,
CKB,DDAH2,
TRMT61A,DDAH2,
TRMT61A,DDAH2,
RP11-894P9.2,COQ3,
RP11-73M18.8,LIN28B,
AL049840.1,BVES-AS1,
AL049840.1,TMEM106B,
RP11-73M18.9,TMEM106B,
MYO18A,OSBPL3,
TIAF1,PXDNL,
RAB27B,RP11-163N6.2,
DDX27,PIGFP2,
EP300,TNKS1BP1,
ZC3H7B,AP000662.4,
,CLP1,
,TMEM258,
,DRD2,
,OLFM4,
,CTD-2298J14.2,
,LRFN5,
,JKAMP,
,CCDC175,
,RTN1,
,SYNE2,
,ESR2,
,AREL1,
,PROX2,
,DLST,
,DLST,
,RPS6KL1,
,RP11-600F24.2,
,CKB,
,TRMT61A,
,TRMT61A,
,RP11-894P9.2,
,RP11-73M18.6,
,RP11-73M18.7,
,RP11-73M18.8,
,AL049840.1,
,AL049840.1,
,RP11-73M18.9,
,RP11-73M18.9,
,PMFBP1,
,MYO18A,
,TIAF1,
,RAB27B,
,RAB27B,
,DDX27,
,SLC25A17,
,SLC25A17,
,XPNPEP3,
,XPNPEP3,
,EP300,
,EP300,
,RANGAP1,
,RANGAP1,
,ZC3H7B,
