Source,Target
ALDH2,5280442
ALDH2,5282160
ALDH2,10394
ALDH2,5488186
ALDH2,5280443
ALDH2,5280804
ALDH2,5282155
ALDH2,107
ALDH2,5317750
ALDH2,5284649
ALDH2,5280863
ALDH2,5280961
ALDH2,10559720
ALDH2,5281607
ALDH2,5281708
ALDH2,10140
ALDH2,12310288
ALDH2,12544
ALDH2,129887767
ALDH2,321710
ALDH2,45093073
ALDH2,45093080
ALDH2,4615423
ALDH2,5280459
ALDH2,5280960
ALDH2,64982
ALDH2,101101166
ALDH2,176907
ALDH2,25201019
FADS1,25201019
FADS1,45093080
FADS1,10176710
FADS1,138478
FADS1,181511
FADS1,91469
FOLH1,nocid12
FOLH1,7420
FOLH1,94228
FOLH1,2969
FOLH1,72
FOLH1,10394
FOLH1,135
FOLH1,439435
FOLH1,52920332
FOLH1,6106
FOLH1,222528
FOLH1,9378
FOLH1,5862
FOLH1,92258
FOLH1,938
FOLH1,119
FOLH1,439763
FOLH1,6137
FOLH1,999
FOLH1,9877619
FOLH1,9903
FOLH1,9750
FOLH1,439232
FOLH1,7991
FOLH1,138478
FOLH1,14925
FOLH1,65065
FOLH1,6047
FOLH1,33032
FOLH1,424
FOLH1,124886
FOLH1,153520426
FOLH1,8892
FOLH1,12587
FOLH1,nocid17
FOLH1,107
FOLH1,10430
FOLH1,522502
FOLH1,439183
FOLH1,8314
FOLH1,13580
FOLH1,11005
FOLH1,2752054
FOLH1,135398658
FOLH1,84815
FOLH1,nocid13
FOLH1,6140
FOLH1,5960
FOLH1,83697
FOLH1,10559720
FOLH1,69867
FOLH1,985
FOLH1,91
FOLH1,6057
FOLH1,1030
FOLH1,104775
FOLH1,114781
FOLH1,127
FOLH1,135191
FOLH1,160419
FOLH1,160471
FOLH1,179
FOLH1,18950
FOLH1,18986
FOLH1,192215
FOLH1,22253297
FOLH1,23676771
FOLH1,242
FOLH1,24970825
FOLH1,262
FOLH1,311
FOLH1,3587356
FOLH1,439586
FOLH1,439709
FOLH1,440993
FOLH1,444873
FOLH1,445027
FOLH1,51576
FOLH1,5375048
FOLH1,5459879
FOLH1,54670067
FOLH1,547
FOLH1,6262
FOLH1,6267
FOLH1,6306
FOLH1,64982
FOLH1,6508
FOLH1,6613
FOLH1,6723
FOLH1,6971058
FOLH1,6971268
FOLH1,6971271
FOLH1,753
FOLH1,79041
FOLH1,824
FOLH1,92817
FOLH1,92904
FOLH1,9548632
FOLH1,9831622
FOLH1,10133
FOLH1,122356
FOLH1,12310288
FOLH1,12544
FOLH1,12647
FOLH1,145742
FOLH1,159660
FOLH1,160636
FOLH1,1826
FOLH1,2733768
FOLH1,31401
FOLH1,3292996
FOLH1,3744
FOLH1,3845
FOLH1,4183249
FOLH1,439520
FOLH1,4398339
FOLH1,4615423
FOLH1,5327011
FOLH1,5460161
FOLH1,61503
FOLH1,6287
FOLH1,6590
FOLH1,6675
FOLH1,750
FOLH1,875
FOLH1,91435
FOLH1,96384
FOLH1,970
GRIA1,5610
GRIA1,321710
GRIA1,10394
GRIA1,6106
GRIA1,9378
GRIA1,5862
GRIA1,12647
GRIA1,92258
GRIA1,6267
GRIA1,6137
GRIA1,9877619
GRIA1,9750
GRIA1,6274
GRIA1,122356
GRIA1,6047
GRIA1,9548632
GRIA1,33032
GRIA1,424
GRIA1,522502
GRIA1,67678
GRIA1,824
GRIA1,84815
GRIA1,6140
GRIA1,5960
GRIA1,159660
GRIA1,6262
GRIA1,5951
GRIA1,6057
GRIA1,10430
GRIA1,104775
GRIA1,114781
GRIA1,119
GRIA1,119307
GRIA1,12587
GRIA1,145742
GRIA1,14925
GRIA1,153520426
GRIA1,154035
GRIA1,192215
GRIA1,22253297
GRIA1,2733768
GRIA1,311
GRIA1,348154
GRIA1,3587356
GRIA1,439435
GRIA1,4398339
GRIA1,444873
GRIA1,52920332
GRIA1,54580480
GRIA1,547
GRIA1,58177709
GRIA1,586
GRIA1,5950
GRIA1,602
GRIA1,6287
GRIA1,6288
GRIA1,6306
GRIA1,64981
GRIA1,6613
GRIA1,6675
GRIA1,7991
GRIA1,8314
GRIA1,83697
GRIA1,8892
GRIA1,96384
GRIA1,nocid17
GRIA1,1145
GRIA1,124886
GRIA1,13580
GRIA1,160419
GRIA1,23676771
GRIA1,439183
GRIA1,65065
GRIA1,6723
GRIA1,6971058
GRIA1,6971271
GRIA1,750
GRIA1,79041
GRIA1,80817
GRIA1,875
GRIA1,970
GRIK3,61503
GRIK3,6306
GRIK3,6106
GRIK3,5862
GRIK3,12647
GRIK3,6267
GRIK3,6137
GRIK3,9750
GRIK3,6274
GRIK3,6287
GRIK3,6047
GRIK3,33032
GRIK3,424
GRIK3,10430
GRIK3,8314
GRIK3,67678
GRIK3,824
GRIK3,6288
GRIK3,84815
GRIK3,5950
GRIK3,6140
GRIK3,6590
GRIK3,5960
GRIK3,602
GRIK3,159660
GRIK3,6262
GRIK3,80817
GRIK3,5951
GRIK3,6057
GRIK3,104775
GRIK3,114781
GRIK3,119
GRIK3,145742
GRIK3,14925
GRIK3,153520426
