Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8950505,"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",2,73,0.004521803766105055,6.115521588323514E-5,5.283069486616832E-4,1,36,0.002268716914544996,9606,Homo sapiens,"AIP","","R-HSA-8950201"
R-HSA-9020591,"Interleukin-12 signaling",2,84,0.005203171456888008,8.093724877822339E-5,5.283069486616832E-4,1,56,0.0035291152004033274,9606,Homo sapiens,"AIP","","R-HSA-8950201"
R-HSA-447115,"Interleukin-12 family signaling",2,96,0.005946481665014866,1.0566138973233663E-4,5.283069486616832E-4,1,114,0.007184270229392488,9606,Homo sapiens,"AIP","","R-HSA-8950201"
R-HSA-8937144,"Aryl hydrocarbon receptor signalling",1,8,4.955401387512388E-4,0.0014858838578510891,0.0059435354314043565,3,5,3.150995714645828E-4,9606,Homo sapiens,"AIP","","R-HSA-8937169;R-HSA-8936849;R-HSA-8937191"
R-HSA-449147,"Signaling by Interleukins",2,646,0.04001486620416254,0.004675425783403631,0.014026277350210892,1,505,0.031825056717922864,9606,Homo sapiens,"AIP","","R-HSA-8950201"
R-HSA-1280215,"Cytokine Signaling in Immune system",2,1106,0.06850842418235877,0.013437137102463415,0.02103510094360772,1,806,0.05079405092009075,9606,Homo sapiens,"AIP","","R-HSA-8950201"
R-HSA-5389840,"Mitochondrial translation elongation",1,107,0.00662784935579782,0.01975205405687619,0.02103510094360772,5,8,5.041593143433325E-4,9606,Homo sapiens,"AIP","","R-HSA-5389842;R-HSA-5389857;R-HSA-5389848;R-HSA-5419279;R-HSA-5419261"
R-HSA-5368286,"Mitochondrial translation initiation",1,109,0.00675173439048563,0.02011875320362322,0.02103510094360772,3,4,2.5207965717166626E-4,9606,Homo sapiens,"AIP","","R-HSA-5368279;R-HSA-5389849;R-HSA-5389839"
R-HSA-9937383,"Mitochondrial ribosome-associated quality control",1,114,0.0070614469772051535,0.02103510094360772,0.02103510094360772,3,5,3.150995714645828E-4,9606,Homo sapiens,"AIP","","R-HSA-9937719;R-HSA-9937412;R-HSA-9937724"
R-HSA-5419276,"Mitochondrial translation termination",1,121,0.007495044598612488,0.022317027754560348,0.022317027754560348,7,7,4.411394000504159E-4,9606,Homo sapiens,"AIP","","R-HSA-9937415;R-HSA-5419264;R-HSA-5419281;R-HSA-9937394;R-HSA-5419271;R-HSA-5419273;R-HSA-5419277"
R-HSA-5368287,"Mitochondrial translation",1,155,0.009601090188305253,0.02852761280395333,0.02852761280395333,18,24,0.0015124779430299975,9606,Homo sapiens,"AIP","","R-HSA-9937719;R-HSA-5389842;R-HSA-5419281;R-HSA-9937394;R-HSA-5368279;R-HSA-5389848;R-HSA-9937724;R-HSA-5389849;R-HSA-5419261;R-HSA-9937415;R-HSA-5419264;R-HSA-9937412;R-HSA-5389857;R-HSA-5419271;R-HSA-5419273;R-HSA-5419279;R-HSA-5389839;R-HSA-5419277"
R-HSA-211945,"Phase I - Functionalization of compounds",1,298,0.018458870168483646,0.054360710330523476,0.054360710330523476,3,102,0.006428031257877489,9606,Homo sapiens,"AIP","","R-HSA-8937169;R-HSA-8936849;R-HSA-8937191"
R-HSA-168256,"Immune System",2,2800,0.1734390485629336,0.07980883473468248,0.07980883473468248,1,1822,0.11482228384169398,9606,Homo sapiens,"AIP","","R-HSA-8950201"
R-HSA-72766,"Translation",1,450,0.027874132804757184,0.08131315386455673,0.08131315386455673,18,126,0.007940509200907487,9606,Homo sapiens,"AIP","","R-HSA-9937719;R-HSA-5389842;R-HSA-5419281;R-HSA-9937394;R-HSA-5368279;R-HSA-5389848;R-HSA-9937724;R-HSA-5389849;R-HSA-5419261;R-HSA-9937415;R-HSA-5419264;R-HSA-9937412;R-HSA-5389857;R-HSA-5419271;R-HSA-5419273;R-HSA-5419279;R-HSA-5389839;R-HSA-5419277"
R-HSA-211859,"Biological oxidations",1,544,0.03369672943508424,0.09772204119242678,0.09772204119242678,3,190,0.011973783715654147,9606,Homo sapiens,"AIP","","R-HSA-8937169;R-HSA-8936849;R-HSA-8937191"
R-HSA-392499,"Metabolism of proteins",1,2430,0.1505203171456888,0.3870020971928191,0.3870020971928191,18,929,0.05854550037811949,9606,Homo sapiens,"AIP","","R-HSA-9937719;R-HSA-5389842;R-HSA-5419281;R-HSA-9937394;R-HSA-5368279;R-HSA-5389848;R-HSA-9937724;R-HSA-5389849;R-HSA-5419261;R-HSA-9937415;R-HSA-5419264;R-HSA-9937412;R-HSA-5389857;R-HSA-5419271;R-HSA-5419273;R-HSA-5419279;R-HSA-5389839;R-HSA-5419277"
R-HSA-1430728,"Metabolism",1,3775,0.23383300297324083,0.5502508803864035,0.5502508803864035,3,2376,0.14973531635996976,9606,Homo sapiens,"AIP","","R-HSA-8937169;R-HSA-8936849;R-HSA-8937191"
