hsa00010  	Glycolysis / Gluconeogenesis
hsa00053  	Ascorbate and aldarate metabolism
hsa00071  	Fatty acid degradation
hsa00280  	Valine, leucine and isoleucine degradation
hsa00310  	Lysine degradation
hsa00330  	Arginine and proline metabolism
hsa00340  	Histidine metabolism
hsa00380  	Tryptophan metabolism
hsa00410  	beta-Alanine metabolism
hsa00561  	Glycerolipid metabolism
hsa00620  	Pyruvate metabolism
hsa00770  	Pantothenate and CoA biosynthesis
hsa01100  	Metabolic pathways
hsa01240  	Biosynthesis of cofactors
hsa04936  	Alcoholic liver disease
