Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-380612,"Metabolism of serotonin",1,2,1.6454134101192923E-4,1.6454134101195894E-4,0.0014808720691072974,1,2,1.2728314134792846E-4,9606,Homo sapiens,"ALDH2","P05091","R-HSA-380608"
R-HSA-380615,"Serotonin clearance from the synaptic cleft",1,3,2.4681201151789385E-4,2.468120115178829E-4,0.0014808720691072974,1,4,2.545662826958569E-4,9606,Homo sapiens,"ALDH2","P05091","R-HSA-380608"
R-HSA-112311,"Neurotransmitter clearance",1,10,8.227067050596463E-4,8.227067050596837E-4,0.002961744138214595,1,16,0.0010182651307834277,9606,Homo sapiens,"ALDH2","P05091","R-HSA-380608"
R-HSA-71384,"Ethanol oxidation",1,12,9.872480460715754E-4,9.872480460715316E-4,0.002961744138214595,1,7,4.454909947177496E-4,9606,Homo sapiens,"ALDH2","P05091","R-HSA-71723"
R-HSA-445355,"Smooth Muscle Contraction",1,44,0.0036199095022624436,0.0036199095022624306,0.007239819004524861,1,16,0.0010182651307834277,9606,Homo sapiens,"ALDH2","P05091","R-HSA-9620103"
R-HSA-9837999,"Mitochondrial protein degradation",1,98,0.008062525709584533,0.008062525709584545,0.008638420403126235,4,20,0.0012728314134792848,9606,Homo sapiens,"ALDH2","P05091","R-HSA-9838035;R-HSA-9838289;R-HSA-9838081;R-HSA-9838093"
R-HSA-211945,"Phase I - Functionalization of compounds",1,105,0.008638420403126285,0.008638420403126235,0.008638420403126235,1,101,0.0064277986380703875,9606,Homo sapiens,"ALDH2","P05091","R-HSA-71723"
R-HSA-397014,"Muscle contraction",1,204,0.016783216783216783,0.016783216783216814,0.016783216783216814,1,53,0.0033730032457201043,9606,Homo sapiens,"ALDH2","P05091","R-HSA-9620103"
R-HSA-211859,"Biological oxidations",1,218,0.017935006170300288,0.017935006170300305,0.017935006170300305,1,180,0.011455482721313562,9606,Homo sapiens,"ALDH2","P05091","R-HSA-71723"
R-HSA-112315,"Transmission across Chemical Synapses",1,273,0.022459893048128343,0.022459893048128343,0.022459893048128343,1,162,0.010309934449182205,9606,Homo sapiens,"ALDH2","P05091","R-HSA-380608"
R-HSA-112316,"Neuronal System",1,419,0.034471410941999174,0.034471410941999125,0.034471410941999125,1,216,0.013746579265576275,9606,Homo sapiens,"ALDH2","P05091","R-HSA-380608"
R-HSA-392499,"Metabolism of proteins",1,2114,0.1739201974496092,0.17392019744960918,0.17392019744960918,4,912,0.05804111245465538,9606,Homo sapiens,"ALDH2","P05091","R-HSA-9838035;R-HSA-9838289;R-HSA-9838081;R-HSA-9838093"
R-HSA-1430728,"Metabolism",1,2218,0.18247634718222955,0.1824763471822295,0.1824763471822295,1,2149,0.13676573537834913,9606,Homo sapiens,"ALDH2","P05091","R-HSA-71723"
