Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9768919,"NPAS4 regulates expression of target genes",2,41,0.002539643211100099,6.449787639639659E-6,2.64441293225226E-4,3,35,0.0022056970002520796,9606,Homo sapiens,"CDK5","","R-HSA-9634916;R-HSA-9634884;R-HSA-9634943"
R-HSA-9634815,"Transcriptional Regulation by NPAS4",2,60,0.0037165510406342913,1.381275163758744E-5,2.762550327517488E-4,3,46,0.002898916057474162,9606,Homo sapiens,"CDK5","","R-HSA-9634916;R-HSA-9634884;R-HSA-9634943"
R-HSA-9931529,"Phosphorylation and nuclear translocation of BMAL1 (ARNTL) and CLOCK",1,7,4.33597621407334E-4,8.67007235917483E-4,0.011271094066927279,1,4,2.5207965717166626E-4,9606,Homo sapiens,"CDK5","","R-HSA-9912396"
R-HSA-9032845,"Activated NTRK2 signals through CDK5",1,10,6.194251734390486E-4,0.0012384666593325822,0.012384666593325822,3,6,3.781194857574994E-4,9606,Homo sapiens,"CDK5","","R-HSA-9032841;R-HSA-9032863;R-HSA-9032854"
R-HSA-9931530,"Phosphorylation and nuclear translocation of the CRY:PER:kinase complex",1,16,9.910802775024777E-4,0.001981178314888532,0.012993828124923223,1,4,2.5207965717166626E-4,9606,Homo sapiens,"CDK5","","R-HSA-9920673"
R-HSA-399956,"CRMPs in Sema3A signaling",1,18,0.0011149653121902874,0.0022286874767331044,0.012993828124923223,3,5,3.150995714645828E-4,9606,Homo sapiens,"CDK5","","R-HSA-399951;R-HSA-399946;R-HSA-399944"
R-HSA-8862803,"Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models",1,30,0.0018582755203171457,0.0037130978527248892,0.012993828124923223,13,22,0.0013864381144441643,9606,Homo sapiens,"CDK5","","R-HSA-8863014;R-HSA-8863013;R-HSA-8868260;R-HSA-8863587;R-HSA-8863011;R-HSA-8868567;R-HSA-8868340;R-HSA-8863007;R-HSA-8870558;R-HSA-8868573;R-HSA-8868666;R-HSA-8863674;R-HSA-8868344"
R-HSA-8863678,"Neurodegenerative Diseases",1,30,0.0018582755203171457,0.0037130978527248892,0.012993828124923223,13,22,0.0013864381144441643,9606,Homo sapiens,"CDK5","","R-HSA-8863014;R-HSA-8863013;R-HSA-8868260;R-HSA-8863587;R-HSA-8863011;R-HSA-8868567;R-HSA-8868340;R-HSA-8863007;R-HSA-8870558;R-HSA-8868573;R-HSA-8868666;R-HSA-8863674;R-HSA-8868344"
R-HSA-9734009,"Defective Intrinsic Pathway for Apoptosis",1,33,0.00204410307234886,0.0040840277873271935,0.012993828124923223,13,24,0.0015124779430299975,9606,Homo sapiens,"CDK5","","R-HSA-8863014;R-HSA-8863013;R-HSA-8868260;R-HSA-8863587;R-HSA-8863011;R-HSA-8868567;R-HSA-8868340;R-HSA-8863007;R-HSA-8870558;R-HSA-8868573;R-HSA-8868666;R-HSA-8863674;R-HSA-8868344"
R-HSA-9006115,"Signaling by NTRK2 (TRKB)",1,33,0.00204410307234886,0.0040840277873271935,0.012993828124923223,3,38,0.0023947567431308295,9606,Homo sapiens,"CDK5","","R-HSA-9032841;R-HSA-9032863;R-HSA-9032854"
R-HSA-180024,"DARPP-32 events",1,35,0.00216798810703667,0.0043312760416410745,0.012993828124923223,1,12,7.562389715149988E-4,9606,Homo sapiens,"CDK5","","R-HSA-180047"
R-HSA-9031628,"NGF-stimulated transcription",1,56,0.003468780971258672,0.006925529501090821,0.017145887550941374,1,37,0.002331736828837913,9606,Homo sapiens,"CDK5","","R-HSA-9616368"
R-HSA-373755,"Semaphorin interactions",1,71,0.004397918731417245,0.008776495773666348,0.017145887550941374,3,41,0.002583816486009579,9606,Homo sapiens,"CDK5","","R-HSA-399951;R-HSA-399946;R-HSA-399944"
R-HSA-212436,"Generic Transcription Pathway",2,1574,0.09749752229930625,0.009505766854503661,0.017145887550941374,4,879,0.055394504663473655,9606,Homo sapiens,"CDK5","","R-HSA-9634916;R-HSA-9634884;R-HSA-6805276;R-HSA-9634943"
R-HSA-198725,"Nuclear Events (kinase and transcription factor activation)",1,80,0.004955401387512388,0.00988624677211336,0.017145887550941374,1,48,0.003024955886059995,9606,Homo sapiens,"CDK5","","R-HSA-9616368"
R-HSA-73857,"RNA Polymerase II Transcription",2,1715,0.10623141724479683,0.011285114009838115,0.017145887550941374,4,940,0.05923871943534157,9606,Homo sapiens,"CDK5","","R-HSA-9634916;R-HSA-9634884;R-HSA-6805276;R-HSA-9634943"
R-HSA-6804756,"Regulation of TP53 Activity through Phosphorylation",1,96,0.005946481665014866,0.011857602685837354,0.017145887550941374,1,26,0.0016385177716158306,9606,Homo sapiens,"CDK5","","R-HSA-6805276"
R-HSA-9645723,"Diseases of programmed cell death",1,97,0.006008424182358771,0.011980747203562458,0.017145887550941374,13,37,0.002331736828837913,9606,Homo sapiens,"CDK5","","R-HSA-8863014;R-HSA-8863013;R-HSA-8868260;R-HSA-8863587;R-HSA-8863011;R-HSA-8868567;R-HSA-8868340;R-HSA-8863007;R-HSA-8870558;R-HSA-8868573;R-HSA-8868666;R-HSA-8863674;R-HSA-8868344"
R-HSA-111885,"Opioid Signalling",1,115,0.007123389494549059,0.014196036311207028,0.017145887550941374,1,59,0.0037181749432820773,9606,Homo sapiens,"CDK5","","R-HSA-180047"
R-HSA-74160,"Gene expression (Transcription)",2,1958,0.12128344895936571,0.014709674991479016,0.017145887550941374,6,1139,0.07177968237963196,9606,Homo sapiens,"CDK5","","R-HSA-9843120;R-HSA-9634916;R-HSA-9634884;R-HSA-6805276;R-HSA-9634943;R-HSA-9843115"
R-HSA-9851695,"Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes",1,139,0.008610009910802775,0.017145887550941374,0.017145887550941374,2,37,0.002331736828837913,9606,Homo sapiens,"CDK5","","R-HSA-9843120;R-HSA-9843115"
R-HSA-9841922,"MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis",1,139,0.008610009910802775,0.017145887550941374,0.017145887550941374,2,37,0.002331736828837913,9606,Homo sapiens,"CDK5","","R-HSA-9843120;R-HSA-9843115"
R-HSA-9818564,"Epigenetic regulation of gene expression by MLL3 and MLL4 complexes",1,139,0.008610009910802775,0.017145887550941374,0.017145887550941374,2,40,0.0025207965717166624,9606,Homo sapiens,"CDK5","","R-HSA-9843120;R-HSA-9843115"
R-HSA-187037,"Signaling by NTRK1 (TRKA)",1,143,0.008857779980178395,0.017637099694179592,0.017637099694179592,1,102,0.006428031257877489,9606,Homo sapiens,"CDK5","","R-HSA-9616368"
R-HSA-9909396,"Circadian clock",1,148,0.009167492566897919,0.018250942213831833,0.018250942213831833,2,78,0.004915553314847491,9606,Homo sapiens,"CDK5","","R-HSA-9920673;R-HSA-9912396"
R-HSA-166520,"Signaling by NTRKs",1,166,0.010282457879088207,0.020459186818141184,0.020459186818141184,4,164,0.010335265944038316,9606,Homo sapiens,"CDK5","","R-HSA-9032841;R-HSA-9616368;R-HSA-9032863;R-HSA-9032854"
R-HSA-9917777,"Epigenetic regulation by WDR5-containing histone modifying complexes",1,171,0.01059217046580773,0.021072146856438767,0.021072146856438767,2,67,0.00422233425762541,9606,Homo sapiens,"CDK5","","R-HSA-9843120;R-HSA-9843115"
R-HSA-5633007,"Regulation of TP53 Activity",1,179,0.01108771060455897,0.02205248388266745,0.02205248388266745,1,97,0.006112931686412907,9606,Homo sapiens,"CDK5","","R-HSA-6805276"
R-HSA-983231,"Factors involved in megakaryocyte development and platelet production",1,194,0.012016848364717543,0.023889292084814384,0.023889292084814384,1,43,0.0027098563145954123,9606,Homo sapiens,"CDK5","","R-HSA-1013833"
R-HSA-212165,"Epigenetic regulation of gene expression",1,345,0.021370168483647176,0.04228365286627478,0.04228365286627478,2,118,0.007436349886564155,9606,Homo sapiens,"CDK5","","R-HSA-9843120;R-HSA-9843115"
R-HSA-418594,"G alpha (i) signalling events",1,428,0.02651139742319128,0.05231994065305223,0.05231994065305223,1,74,0.004663473657675826,9606,Homo sapiens,"CDK5","","R-HSA-180047"
R-HSA-3700989,"Transcriptional Regulation by TP53",1,487,0.030166005946481667,0.05942202397820018,0.05942202397820018,1,258,0.016259137887572474,9606,Homo sapiens,"CDK5","","R-HSA-6805276"
R-HSA-422475,"Axon guidance",1,566,0.03505946481665015,0.06888976356007026,0.06888976356007026,3,295,0.018590874716410386,9606,Homo sapiens,"CDK5","","R-HSA-399951;R-HSA-399946;R-HSA-399944"
R-HSA-9675108,"Nervous system development",1,603,0.03735133795837463,0.0733075534694686,0.0733075534694686,3,322,0.020292412402319132,9606,Homo sapiens,"CDK5","","R-HSA-399951;R-HSA-399946;R-HSA-399944"
R-HSA-9006934,"Signaling by Receptor Tyrosine Kinases",1,634,0.03927155599603568,0.07700085688172165,0.07700085688172165,4,759,0.04783211494832367,9606,Homo sapiens,"CDK5","","R-HSA-9032841;R-HSA-9616368;R-HSA-9032863;R-HSA-9032854"
R-HSA-388396,"GPCR downstream signalling",1,795,0.04924430128840436,0.09606360136742564,0.09606360136742564,1,175,0.011028485001260399,9606,Homo sapiens,"CDK5","","R-HSA-180047"
