hsa03083  	Polycomb repressive complex
hsa03250  	Viral life cycle - HIV-1
hsa04024  	cAMP signaling pathway
hsa04066  	HIF-1 signaling pathway
hsa04068  	FoxO signaling pathway
hsa04110  	Cell cycle
hsa04310  	Wnt signaling pathway
hsa04330  	Notch signaling pathway
hsa04350  	TGF-beta signaling pathway
hsa04520  	Adherens junction
hsa04630  	JAK-STAT signaling pathway
hsa04720  	Long-term potentiation
hsa04916  	Melanogenesis
hsa04919  	Thyroid hormone signaling pathway
hsa04922  	Glucagon signaling pathway
hsa04935  	Growth hormone synthesis, secretion and action
hsa05016  	Huntington disease
hsa05152  	Tuberculosis
hsa05161  	Hepatitis B
hsa05164  	Influenza A
hsa05165  	Human papillomavirus infection
hsa05166  	Human T-cell leukemia virus 1 infection
hsa05167  	Kaposi sarcoma-associated herpesvirus infection
hsa05200  	Pathways in cancer
hsa05203  	Viral carcinogenesis
hsa05206  	MicroRNAs in cancer
hsa05211  	Renal cell carcinoma
hsa05215  	Prostate cancer
