Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1251985,"Nuclear signaling by ERBB4",4,47,0.002911298315163528,7.183675876376583E-11,2.873470350550633E-9,34,34,0.002142677085959163,9606,Homo sapiens,"ERBB4","","R-HSA-1254291;R-HSA-8954185;R-HSA-1254290;R-HSA-9612243;R-HSA-9612246;R-HSA-9612440;R-HSA-1251992;R-HSA-8954179;R-HSA-1253343;R-HSA-9612255;R-HSA-1251997;R-HSA-8954182;R-HSA-9612444;R-HSA-9612445;R-HSA-9612672;R-HSA-1253319;R-HSA-8954207;R-HSA-1253321;R-HSA-1253325;R-HSA-1254285;R-HSA-8954199;R-HSA-1254386;R-HSA-9612278;R-HSA-9612277;R-HSA-8954208;R-HSA-1254392;R-HSA-9612671;R-HSA-9612448;R-HSA-9612257;R-HSA-1254251;R-HSA-8954224;R-HSA-1254248;R-HSA-1254376;R-HSA-1252013"
R-HSA-1236394,"Signaling by ERBB4",4,82,0.005079286422200198,6.65596133764268E-10,1.331192267528536E-8,52,52,0.0032770355432316612,9606,Homo sapiens,"ERBB4","","R-HSA-1254291;R-HSA-1254290;R-HSA-9612440;R-HSA-1251992;R-HSA-1251997;R-HSA-9612444;R-HSA-9612445;R-HSA-9612672;R-HSA-1250315;R-HSA-1254285;R-HSA-1250353;R-HSA-9612593;R-HSA-1250357;R-HSA-1253300;R-HSA-9612219;R-HSA-1253282;R-HSA-9612448;R-HSA-1236398;R-HSA-1252013;R-HSA-1250220;R-HSA-1250348;R-HSA-8954185;R-HSA-9612243;R-HSA-9612246;R-HSA-8954179;R-HSA-1253343;R-HSA-9612255;R-HSA-9612639;R-HSA-8954182;R-HSA-1977296;R-HSA-1250370;R-HSA-1253319;R-HSA-8954207;R-HSA-1253321;R-HSA-1973956;R-HSA-1250383;R-HSA-1253325;R-HSA-8954199;R-HSA-1250380;R-HSA-1254386;R-HSA-9612278;R-HSA-9612277;R-HSA-8954208;R-HSA-1254392;R-HSA-9612671;R-HSA-9612257;R-HSA-1977958;R-HSA-1254251;R-HSA-8954224;R-HSA-1977959;R-HSA-1254248;R-HSA-1254376"
R-HSA-1253288,"Downregulation of ERBB4 signaling",3,11,6.813676907829534E-4,1.2646856895059955E-9,1.644091396357794E-8,5,5,3.150995714645828E-4,9606,Homo sapiens,"ERBB4","","R-HSA-1253282;R-HSA-1253300;R-HSA-9612219;R-HSA-1973956;R-HSA-1977296"
R-HSA-8847993,"ERBB2 Activates PTK6 Signaling",3,18,0.0011149653121902874,5.539629754913733E-9,3.90890473322969E-8,2,2,1.2603982858583313E-4,9606,Homo sapiens,"ERBB4","","R-HSA-8848005;R-HSA-8847995"
R-HSA-6785631,"ERBB2 Regulates Cell Motility",3,19,0.0011769078295341922,6.514841222049483E-9,3.90890473322969E-8,2,2,1.2603982858583313E-4,9606,Homo sapiens,"ERBB4","","R-HSA-6785636;R-HSA-6785648"
R-HSA-1250347,"SHC1 events in ERBB4 signaling",3,21,0.001300792864222002,8.795499883973434E-9,4.397749941986717E-8,4,4,2.5207965717166626E-4,9606,Homo sapiens,"ERBB4","","R-HSA-1250357;R-HSA-1250383;R-HSA-1250380;R-HSA-1250348"
R-HSA-1963640,"GRB2 events in ERBB2 signaling",3,21,0.001300792864222002,8.795499883973434E-9,4.397749941986717E-8,2,4,2.5207965717166626E-4,9606,Homo sapiens,"ERBB4","","R-HSA-1306969;R-HSA-1306972"
R-HSA-9665686,"Signaling by ERBB2 TMD/JMD mutants",3,30,0.0018582755203171457,2.563212475603649E-8,8.855989630518479E-8,6,13,8.192588858079153E-4,9606,Homo sapiens,"ERBB4","","R-HSA-9665699;R-HSA-9665697;R-HSA-9665701;R-HSA-9665700;R-HSA-9665705;R-HSA-9665709"
R-HSA-9620244,"Long-term potentiation",3,31,0.0019202180376610505,2.828041123503766E-8,8.855989630518479E-8,1,7,4.411394000504159E-4,9606,Homo sapiens,"ERBB4","","R-HSA-9612085"
R-HSA-9664565,"Signaling by ERBB2 KD Mutants",3,35,0.00216798810703667,4.0693396874402765E-8,8.855989630518479E-8,6,17,0.0010713385429795815,9606,Homo sapiens,"ERBB4","","R-HSA-9664976;R-HSA-9664567;R-HSA-9664983;R-HSA-9664950;R-HSA-9664991;R-HSA-9664588"
R-HSA-1250196,"SHC1 events in ERBB2 signaling",3,36,0.0022299306243805748,4.4279948152592397E-8,8.855989630518479E-8,4,6,3.781194857574994E-4,9606,Homo sapiens,"ERBB4","","R-HSA-1250195;R-HSA-1250486;R-HSA-1963578;R-HSA-1250463"
R-HSA-1227990,"Signaling by ERBB2 in Cancer",3,36,0.0022299306243805748,4.4279948152592397E-8,8.855989630518479E-8,12,62,0.003907234686160827,9606,Homo sapiens,"ERBB4","","R-HSA-9665699;R-HSA-9665697;R-HSA-9664976;R-HSA-9664567;R-HSA-9664983;R-HSA-9664950;R-HSA-9665701;R-HSA-9665700;R-HSA-9665705;R-HSA-9664991;R-HSA-9665709;R-HSA-9664588"
R-HSA-8863795,"Downregulation of ERBB2 signaling",3,36,0.0022299306243805748,4.4279948152592397E-8,8.855989630518479E-8,2,14,8.822788001008318E-4,9606,Homo sapiens,"ERBB4","","R-HSA-1963563;R-HSA-8863804"
R-HSA-1227986,"Signaling by ERBB2",3,68,0.00421209117938553,2.979745311604276E-7,5.959490623208552E-7,18,46,0.002898916057474162,9606,Homo sapiens,"ERBB4","","R-HSA-1963581;R-HSA-1250195;R-HSA-8848005;R-HSA-1963582;R-HSA-6785636;R-HSA-1250486;R-HSA-1963578;R-HSA-1306969;R-HSA-1250463;R-HSA-1306972;R-HSA-1306979;R-HSA-1963563;R-HSA-6785648;R-HSA-1963589;R-HSA-1250346;R-HSA-8863804;R-HSA-8847995;R-HSA-1963586"
R-HSA-9006927,"Signaling by Non-Receptor Tyrosine Kinases",3,71,0.004397918731417245,3.391304055355704E-7,6.782608110711408E-7,2,53,0.003340055457524578,9606,Homo sapiens,"ERBB4","","R-HSA-8848005;R-HSA-8847995"
R-HSA-8848021,"Signaling by PTK6",3,71,0.004397918731417245,3.391304055355704E-7,6.782608110711408E-7,2,53,0.003340055457524578,9606,Homo sapiens,"ERBB4","","R-HSA-8848005;R-HSA-8847995"
R-HSA-438064,"Post NMDA receptor activation events",3,96,0.005946481665014866,8.373345639078877E-7,1.6746691278157755E-6,1,39,0.0024577766574237457,9606,Homo sapiens,"ERBB4","","R-HSA-9612085"
R-HSA-442755,"Activation of NMDA receptors and postsynaptic events",3,113,0.006999504459861249,1.3645076823998181E-6,2.7290153647996362E-6,1,71,0.004474413914797076,9606,Homo sapiens,"ERBB4","","R-HSA-9612085"
