Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9009391,"Extra-nuclear estrogen signaling",1,80,0.006605565188671456,0.006605565188671503,0.02196350425233251,13,39,0.0025192171048381887,9606,Homo sapiens,"ESR2","Q92731","R-HSA-9021609;R-HSA-9632182;R-HSA-9021068;R-HSA-9633044;R-HSA-9021601;R-HSA-9021600;R-HSA-9021050;R-HSA-9021596;R-HSA-9021660;R-HSA-9021072;R-HSA-9021170;R-HSA-9021079;R-HSA-9027670"
R-HSA-383280,"Nuclear Receptor transcription pathway",1,86,0.007100982577821815,0.007100982577821768,0.02196350425233251,2,2,1.2919062076093276E-4,9606,Homo sapiens,"ESR2","Q92731","R-HSA-382096;R-HSA-376419"
R-HSA-2219530,"Constitutive Signaling by Aberrant PI3K in Cancer",1,97,0.00800924779126414,0.008009247791264107,0.02196350425233251,1,2,1.2919062076093276E-4,9606,Homo sapiens,"ESR2","Q92731","R-HSA-2400009"
R-HSA-2219528,"PI3K/AKT Signaling in Cancer",1,124,0.010238626042440756,0.010238626042440746,0.02196350425233251,1,21,0.001356501517989794,9606,Homo sapiens,"ESR2","Q92731","R-HSA-2400009"
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",1,126,0.010403765172157542,0.010403765172157575,0.02196350425233251,1,7,4.5216717266326466E-4,9606,Homo sapiens,"ESR2","Q92731","R-HSA-2316434"
R-HSA-199418,"Negative regulation of the PI3K/AKT network",1,133,0.010981752126166295,0.010981752126166255,0.02196350425233251,1,10,6.459531038046638E-4,9606,Homo sapiens,"ESR2","Q92731","R-HSA-2316434"
R-HSA-8939211,"ESR-mediated signaling",1,195,0.016101065147386674,0.01610106514738663,0.02287176946577496,17,111,0.007170079452231768,9606,Homo sapiens,"ESR2","Q92731","R-HSA-9021609;R-HSA-9038029;R-HSA-9632182;R-HSA-9021068;R-HSA-9633044;R-HSA-9021601;R-HSA-8939201;R-HSA-9021600;R-HSA-8939203;R-HSA-9021050;R-HSA-9021596;R-HSA-9021660;R-HSA-9021072;R-HSA-9021170;R-HSA-9021079;R-HSA-9709547;R-HSA-9027670"
R-HSA-9006931,"Signaling by Nuclear Receptors",1,270,0.022293782511766162,0.02229378251176617,0.02287176946577496,17,192,0.012402299593049544,9606,Homo sapiens,"ESR2","Q92731","R-HSA-9021609;R-HSA-9038029;R-HSA-9632182;R-HSA-9021068;R-HSA-9633044;R-HSA-9021601;R-HSA-8939201;R-HSA-9021600;R-HSA-8939203;R-HSA-9021050;R-HSA-9021596;R-HSA-9021660;R-HSA-9021072;R-HSA-9021170;R-HSA-9021079;R-HSA-9709547;R-HSA-9027670"
R-HSA-1257604,"PIP3 activates AKT signaling",1,277,0.022871769465774915,0.02287176946577496,0.02287176946577496,1,88,0.005684387313481041,9606,Homo sapiens,"ESR2","Q92731","R-HSA-2316434"
R-HSA-9006925,"Intracellular signaling by second messengers",1,317,0.026174552060110642,0.026174552060110656,0.026174552060110656,1,116,0.0074930560041341,9606,Homo sapiens,"ESR2","Q92731","R-HSA-2316434"
R-HSA-5663202,"Diseases of signal transduction by growth factor receptors and second messengers",1,479,0.03955082156717034,0.03955082156717038,0.03955082156717038,1,514,0.033201989535559716,9606,Homo sapiens,"ESR2","Q92731","R-HSA-2400009"
R-HSA-212436,"Generic Transcription Pathway",1,1256,0.10370737346214186,0.10370737346214187,0.10370737346214187,2,878,0.05671468251404948,9606,Homo sapiens,"ESR2","Q92731","R-HSA-382096;R-HSA-376419"
R-HSA-73857,"RNA Polymerase II Transcription",1,1379,0.11386342993972422,0.1138634299397242,0.1138634299397242,2,939,0.06065499644725793,9606,Homo sapiens,"ESR2","Q92731","R-HSA-382096;R-HSA-376419"
R-HSA-74160,"Gene expression (Transcription)",1,1575,0.13004706465196927,0.13004706465196925,0.13004706465196925,2,1137,0.07344486790259028,9606,Homo sapiens,"ESR2","Q92731","R-HSA-382096;R-HSA-376419"
R-HSA-1643685,"Disease",1,2575,0.21261662951036248,0.21261662951036242,0.21261662951036242,1,2137,0.13804017828305665,9606,Homo sapiens,"ESR2","Q92731","R-HSA-2400009"
R-HSA-162582,"Signal Transduction",1,2614,0.2158368425398398,0.2158368425398398,0.2158368425398398,18,2576,0.1663975195400814,9606,Homo sapiens,"ESR2","Q92731","R-HSA-9021609;R-HSA-9038029;R-HSA-9632182;R-HSA-9021068;R-HSA-9633044;R-HSA-9021601;R-HSA-8939201;R-HSA-9021600;R-HSA-8939203;R-HSA-2316434;R-HSA-9021050;R-HSA-9021596;R-HSA-9021660;R-HSA-9021072;R-HSA-9021170;R-HSA-9021079;R-HSA-9709547;R-HSA-9027670"
