Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-110362,"POLB-Dependent Long Patch Base Excision Repair",1,8,6.605565188671456E-4,6.605565188670948E-4,0.0036330608537693543,5,10,6.459531038046638E-4,9606,Homo sapiens,"FEN1","P39748","R-HSA-5651782;R-HSA-5649873;R-HSA-5651739;R-HSA-5651723;R-HSA-5649883"
R-HSA-5685939,"HDR through MMEJ (alt-NHEJ)",1,12,9.908347783007183E-4,9.908347783007532E-4,0.0036330608537693543,4,8,5.16762483043731E-4,9606,Homo sapiens,"FEN1","P39748","R-HSA-5687653;R-HSA-5687664;R-HSA-5687484;R-HSA-5687640"
R-HSA-69166,"Removal of the Flap Intermediate",1,14,0.0011559739080175047,0.0011559739080174714,0.0036330608537693543,1,4,2.583812415218655E-4,9606,Homo sapiens,"FEN1","P39748","R-HSA-69152"
R-HSA-69183,"Processive synthesis on the lagging strand",1,15,0.0012385434728758979,0.001238543472875886,0.0036330608537693543,1,7,4.5216717266326466E-4,9606,Homo sapiens,"FEN1","P39748","R-HSA-69152"
R-HSA-174437,"Removal of the Flap Intermediate from the C-strand",1,17,0.0014036826025926844,0.0014036826025927152,0.0036330608537693543,1,4,2.583812415218655E-4,9606,Homo sapiens,"FEN1","P39748","R-HSA-174446"
R-HSA-174414,"Processive synthesis on the C-strand of the telomere",1,19,0.0015688217323094706,0.0015688217323094333,0.0036330608537693543,1,7,4.5216717266326466E-4,9606,Homo sapiens,"FEN1","P39748","R-HSA-174446"
R-HSA-69186,"Lagging Strand Synthesis",1,20,0.001651391297167864,0.001651391297167848,0.0036330608537693543,1,11,7.105484141851302E-4,9606,Homo sapiens,"FEN1","P39748","R-HSA-69152"
R-HSA-5651801,"PCNA-Dependent Long Patch Base Excision Repair",1,21,0.0017339608620262571,0.0017339608620262625,0.0036330608537693543,3,6,3.8757186228279824E-4,9606,Homo sapiens,"FEN1","P39748","R-HSA-110368;R-HSA-110363;R-HSA-110364"
R-HSA-162594,"Early Phase of HIV Life Cycle",1,22,0.0018165304268846503,0.0018165304268846771,0.0036330608537693543,1,39,0.0025192171048381887,9606,Homo sapiens,"FEN1","P39748","R-HSA-182876"
R-HSA-110373,"Resolution of AP sites via the multiple-nucleotide patch replacement pathway",1,25,0.00206423912145983,0.00206423912145981,0.00412847824291962,8,19,0.0012273108972288612,9606,Homo sapiens,"FEN1","P39748","R-HSA-5651782;R-HSA-110368;R-HSA-5649873;R-HSA-110363;R-HSA-5651739;R-HSA-5651723;R-HSA-5649883;R-HSA-110364"
R-HSA-69190,"DNA strand elongation",1,32,0.0026422260754685825,0.002642226075468601,0.0042110478077780344,1,15,9.689296557069956E-4,9606,Homo sapiens,"FEN1","P39748","R-HSA-69152"
R-HSA-174417,"Telomere C-strand (Lagging Strand) Synthesis",1,34,0.0028073652051853687,0.0028073652051853193,0.0042110478077780344,1,18,0.001162715586848395,9606,Homo sapiens,"FEN1","P39748","R-HSA-174446"
R-HSA-73933,"Resolution of Abasic Sites (AP sites)",1,39,0.0032202130294773346,0.0032202130294772813,0.0042110478077780344,8,43,0.0027775983463600544,9606,Homo sapiens,"FEN1","P39748","R-HSA-5651782;R-HSA-110368;R-HSA-5649873;R-HSA-110363;R-HSA-5651739;R-HSA-5651723;R-HSA-5649883;R-HSA-110364"
R-HSA-180786,"Extension of Telomeres",1,51,0.004211047807778053,0.0042110478077780344,0.0042110478077780344,1,28,0.0018086686906530587,9606,Homo sapiens,"FEN1","P39748","R-HSA-174446"
R-HSA-73884,"Base Excision Repair",1,73,0.006027578234662703,0.006027578234662712,0.006027578234662712,8,105,0.00678250758994897,9606,Homo sapiens,"FEN1","P39748","R-HSA-5651782;R-HSA-110368;R-HSA-5649873;R-HSA-110363;R-HSA-5651739;R-HSA-5651723;R-HSA-5649883;R-HSA-110364"
R-HSA-157579,"Telomere Maintenance",1,92,0.007596399966972174,0.007596399966972145,0.007596399966972145,1,34,0.0021962405529358567,9606,Homo sapiens,"FEN1","P39748","R-HSA-174446"
R-HSA-69239,"Synthesis of DNA",1,108,0.008917513004706465,0.008917513004706445,0.008917513004706445,1,27,0.0017440733802725921,9606,Homo sapiens,"FEN1","P39748","R-HSA-69152"
R-HSA-73886,"Chromosome Maintenance",1,119,0.009825778218148791,0.009825778218148784,0.009825778218148784,1,38,0.0024546217944577224,9606,Homo sapiens,"FEN1","P39748","R-HSA-174446"
R-HSA-5693538,"Homology Directed Repair",1,122,0.01007348691272397,0.010073486912723917,0.010073486912723917,4,55,0.003552742070925651,9606,Homo sapiens,"FEN1","P39748","R-HSA-5687653;R-HSA-5687664;R-HSA-5687484;R-HSA-5687640"
R-HSA-69242,"S Phase",1,150,0.01238543472875898,0.01238543472875897,0.01238543472875897,1,55,0.003552742070925651,9606,Homo sapiens,"FEN1","P39748","R-HSA-69152"
