hsa04024  	cAMP signaling pathway
hsa04080  	Neuroactive ligand-receptor interaction
hsa04082  	Neuroactive ligand signaling
hsa04713  	Circadian entrainment
hsa04720  	Long-term potentiation
hsa04723  	Retrograde endocannabinoid signaling
hsa04724  	Glutamatergic synapse
hsa04728  	Dopaminergic synapse
hsa04730  	Long-term depression
hsa05014  	Amyotrophic lateral sclerosis
hsa05016  	Huntington disease
hsa05017  	Spinocerebellar ataxia
hsa05022  	Pathways of neurodegeneration - multiple diseases
hsa05031  	Amphetamine addiction
hsa05033  	Nicotine addiction
