Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-399710,"Activation of AMPA receptors",1,4,3.295978905735003E-4,3.295978905735186E-4,0.005438365194462724,5,5,3.2006145179874534E-4,9606,Homo sapiens,"gria1","P42261","R-HSA-420980;R-HSA-399712;R-HSA-420977;R-HSA-399711;R-HSA-420975"
R-HSA-416993,"Trafficking of GluR2-containing AMPA receptors",1,17,0.0014007910349373763,0.0014007910349373986,0.005438365194462724,3,3,1.9203687107924723E-4,9606,Homo sapiens,"gria1","P42261","R-HSA-421007;R-HSA-416639;R-HSA-416985"
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",1,21,0.0017303889255108767,0.0017303889255109173,0.005438365194462724,2,5,3.2006145179874534E-4,9606,Homo sapiens,"gria1","P42261","R-HSA-438037;R-HSA-432162"
R-HSA-8849932,"Synaptic adhesion-like molecules",1,21,0.0017303889255108767,0.0017303889255109173,0.005438365194462724,1,8,5.120983228779926E-4,9606,Homo sapiens,"gria1","P42261","R-HSA-8849881"
R-HSA-9620244,"Long-term potentiation",1,25,0.002059986816084377,0.002059986816084325,0.005438365194462724,1,7,4.480860325182435E-4,9606,Homo sapiens,"gria1","P42261","R-HSA-9618750"
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",1,31,0.0025543836519446275,0.002554383651944603,0.005438365194462724,9,9,5.761106132377416E-4,9606,Homo sapiens,"gria1","P42261","R-HSA-420980;R-HSA-416320;R-HSA-399712;R-HSA-420977;R-HSA-421007;R-HSA-416639;R-HSA-399711;R-HSA-420975;R-HSA-416985"
R-HSA-399719,"Trafficking of AMPA receptors",1,31,0.0025543836519446275,0.002554383651944603,0.005438365194462724,4,4,2.560491614389963E-4,9606,Homo sapiens,"gria1","P42261","R-HSA-416320;R-HSA-421007;R-HSA-416639;R-HSA-416985"
R-HSA-5694530,"Cargo concentration in the ER",1,33,0.0027191825972313777,0.002719182597231362,0.005438365194462724,2,12,7.681474843169889E-4,9606,Homo sapiens,"gria1","P42261","R-HSA-5694522;R-HSA-5694442"
R-HSA-204005,"COPII-mediated vesicle transport",1,69,0.005685563612392881,0.005685563612392919,0.00749835201054716,10,16,0.0010241966457559851,9606,Homo sapiens,"gria1","P42261","R-HSA-5694439;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-5694446;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694409;R-HSA-5694441"
R-HSA-438064,"Post NMDA receptor activation events",1,84,0.006921555702043507,0.006921555702043558,0.00749835201054716,1,39,0.002496479324030214,9606,Homo sapiens,"gria1","P42261","R-HSA-9618750"
R-HSA-6794362,"Protein-protein interactions at synapses",1,91,0.007498352010547132,0.00749835201054716,0.00749835201054716,1,33,0.0021124055818717196,9606,Homo sapiens,"gria1","P42261","R-HSA-8849881"
R-HSA-442755,"Activation of NMDA receptors and postsynaptic events",1,97,0.007992748846407383,0.007992748846407327,0.007992748846407327,3,71,0.004544872615542184,9606,Homo sapiens,"gria1","P42261","R-HSA-438037;R-HSA-432162;R-HSA-9618750"
R-HSA-199977,"ER to Golgi Anterograde Transport",1,156,0.012854317732366513,0.01285431773236656,0.01285431773236656,11,39,0.002496479324030214,9606,Homo sapiens,"gria1","P42261","R-HSA-5694439;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-5694446;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694442;R-HSA-5694409;R-HSA-5694441"
R-HSA-948021,"Transport to the Golgi and subsequent modification",1,187,0.01540870138431114,0.015408701384311163,0.015408701384311163,11,59,0.003776725131225195,9606,Homo sapiens,"gria1","P42261","R-HSA-5694439;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-5694446;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694442;R-HSA-5694409;R-HSA-5694441"
